viral_metrics_id,content_id,viral_at,viral_score,viral_grade,viral_performance_score,viral_momentum_score
virmet-0042,con-0012,2026-06-03 08:16:00,71.1,B,65,76
virmet-0043,con-0013,2026-05-28 15:50:00,35.0,D,35,35
virmet-0044,con-0013,2026-05-29 15:50:00,80.4,B,71,88
virmet-0045,con-0013,2026-05-30 15:50:00,25.7,D,29,23
virmet-0046,con-0013,2026-05-31 15:50:00,60.2,C,41,76
virmet-0047,con-0013,2026-06-01 15:50:00,51.0,C,35,64
virmet-0048,con-0013,2026-06-02 15:50:00,45.0,C,29,58
virmet-0049,con-0013,2026-06-03 15:50:00,48.2,C,29,64
virmet-0050,con-0015,2026-05-29 21:28:00,82.0,B,82,82
virmet-0051,con-0015,2026-05-30 21:28:00,10.8,D,18,5
virmet-0052,con-0015,2026-05-31 21:28:00,34.0,D,12,52
virmet-0053,con-0015,2026-06-01 21:28:00,43.3,C,18,64
virmet-0054,con-0015,2026-06-02 21:28:00,100.0,A,100,100
virmet-0055,con-0015,2026-06-03 21:28:00,8.2,D,12,5
virmet-0056,con-0015,2026-06-04 21:28:00,75.6,B,53,94
virmet-0057,con-0016,2026-05-30 15:46:00,72.7,B,76,70
virmet-0058,con-0016,2026-05-31 15:46:00,78.1,B,88,70
virmet-0059,con-0016,2026-06-01 15:46:00,21.8,D,35,11
virmet-0060,con-0016,2026-06-02 15:46:00,47.7,C,35,58
virmet-0061,con-0016,2026-06-03 15:46:00,88.0,B,88,88
virmet-0062,con-0016,2026-06-04 15:46:00,8.8,D,6,11
virmet-0063,con-0016,2026-06-05 15:46:00,87.0,B,71,100
virmet-0064,con-0017,2026-05-30 23:31:00,64.4,C,65,64
virmet-0065,con-0017,2026-05-31 23:31:00,45.8,C,59,35
virmet-0066,con-0017,2026-06-01 23:31:00,26.8,D,24,29
virmet-0067,con-0017,2026-06-02 23:31:00,75.0,B,59,88
virmet-0068,con-0017,2026-06-03 23:31:00,47.0,C,47,47
virmet-0069,con-0017,2026-06-04 23:31:00,93.4,A,100,88
virmet-0070,con-0017,2026-06-05 23:31:00,35.9,D,59,17
virmet-0071,con-0019,2026-05-31 06:11:00,88.0,B,88,88
virmet-0072,con-0019,2026-06-01 06:11:00,19.1,D,29,11
virmet-0073,con-0019,2026-06-02 06:11:00,80.4,B,71,88
virmet-0074,con-0019,2026-06-03 06:11:00,70.9,B,94,52
virmet-0075,con-0019,2026-06-04 06:11:00,15.8,D,29,5
virmet-0076,con-0019,2026-06-05 06:11:00,39.4,D,24,52
virmet-0077,con-0019,2026-06-06 06:11:00,79.3,B,76,82
virmet-0078,con-0023,2026-06-08 14:02:00,47.0,C,47,47
virmet-0079,con-0023,2026-06-09 14:02:00,63.0,C,47,76
virmet-0080,con-0023,2026-06-10 14:02:00,80.8,B,94,70
virmet-0081,con-0023,2026-06-11 14:02:00,58.8,C,88,35
virmet-0082,con-0023,2026-06-12 14:02:00,74.2,B,94,58
virmet-0083,con-0023,2026-06-13 14:02:00,51.6,C,94,17
virmet-0084,con-0023,2026-06-14 14:02:00,61.0,C,100,29
virmet-0085,con-0026,2026-06-10 22:37:00,94.0,A,94,94
virmet-0086,con-0026,2026-06-11 22:37:00,38.6,D,65,17
virmet-0087,con-0026,2026-06-12 22:37:00,61.2,C,65,58
virmet-0088,con-0026,2026-06-13 22:37:00,8.8,D,6,11
virmet-0089,con-0026,2026-06-14 22:37:00,52.6,C,24,76
virmet-0090,con-0026,2026-06-15 22:37:00,65.6,C,53,76
virmet-0091,con-0026,2026-06-16 22:37:00,36.7,D,24,47
virmet-0092,con-0027,2026-06-10 23:13:00,73.8,B,71,76
virmet-0093,con-0027,2026-06-11 23:13:00,34.4,D,41,29
virmet-0094,con-0027,2026-06-12 23:13:00,17.5,D,18,17
virmet-0095,con-0027,2026-06-13 23:13:00,75.6,B,53,94
virmet-0096,con-0027,2026-06-14 23:13:00,27.4,D,18,35
virmet-0097,con-0027,2026-06-15 23:13:00,84.2,B,65,100
virmet-0098,con-0027,2026-06-16 23:13:00,68.8,C,82,58
virmet-0099,con-0028,2026-06-11 16:52:00,17.5,D,18,17
virmet-0100,con-0028,2026-06-12 16:52:00,34.6,D,6,58
virmet-0101,con-0028,2026-06-13 16:52:00,85.9,B,76,94
virmet-0102,con-0028,2026-06-14 16:52:00,15.8,D,29,5
virmet-0103,con-0028,2026-06-15 16:52:00,79.3,B,76,82
virmet-0104,con-0028,2026-06-16 16:52:00,39.2,D,59,23
virmet-0105,con-0028,2026-06-17 16:52:00,20.8,D,18,23
virmet-0106,con-0029,2026-06-12 02:18:00,100.0,A,100,100
virmet-0107,con-0029,2026-06-13 02:18:00,80.2,B,100,64
virmet-0108,con-0029,2026-06-14 02:18:00,21.2,D,41,5
virmet-0109,con-0029,2026-06-15 02:18:00,77.0,B,71,82
virmet-0110,con-0029,2026-06-16 02:18:00,45.2,C,65,29
virmet-0111,con-0029,2026-06-17 02:18:00,31.7,D,35,29
virmet-0112,con-0029,2026-06-18 02:18:00,28.0,D,12,41
virmet-0113,con-0032,2026-06-13 09:43:00,58.4,C,59,58
virmet-0114,con-0032,2026-06-14 09:43:00,62.8,C,76,52
virmet-0115,con-0032,2026-06-15 09:43:00,43.7,C,47,41
virmet-0116,con-0032,2026-06-16 09:43:00,33.4,D,24,41
virmet-0117,con-0032,2026-06-17 09:43:00,88.6,B,82,94
virmet-0118,con-0032,2026-06-18 09:43:00,58.8,C,88,35
virmet-0119,con-0032,2026-06-19 09:43:00,21.8,D,35,11
