sns_metric_id,client_id,campaign_id,content_id,sns_metric_at,sns_view_count,sns_reach_count,sns_impression_count,sns_like_count,sns_comment_count,sns_save_count,sns_share_count,sns_engagement_rate
snsmet-0036,cli-0001,cam-0001,con-0006,2026-05-27 10:55:00,11394,,,323,17,,41,3.343865192206424
snsmet-0037,cli-0001,cam-0001,con-0006,2026-05-28 10:55:00,3378,,,228,16,,32,8.170515097690942
snsmet-0038,cli-0001,cam-0001,con-0006,2026-05-29 10:55:00,3306,,,189,9,,19,6.563823351482154
snsmet-0039,cli-0001,cam-0001,con-0006,2026-05-30 10:55:00,16642,,,865,27,,68,5.768537435404399
snsmet-0040,cli-0001,cam-0001,con-0006,2026-05-31 10:55:00,6148,,,452,37,,43,8.653220559531555
snsmet-0041,cli-0001,cam-0001,con-0006,2026-06-01 10:55:00,1450,,,97,7,,12,8.0
snsmet-0042,cli-0001,cam-0001,con-0006,2026-06-02 10:55:00,1088,,,31,2,,2,3.2169117647058822
snsmet-0043,cli-0001,cam-0001,con-0007,2026-05-27 14:04:00,,7400,13692,286,9,81,4,5.135135135135135
snsmet-0044,cli-0001,cam-0001,con-0007,2026-05-28 14:04:00,,18576,37147,648,40,100,90,4.7265288544358315
snsmet-0045,cli-0001,cam-0001,con-0007,2026-05-29 14:04:00,,8392,16761,542,23,113,57,8.758341277407053
snsmet-0046,cli-0001,cam-0001,con-0007,2026-05-30 14:04:00,,6060,9964,133,2,19,13,2.7557755775577557
snsmet-0047,cli-0001,cam-0001,con-0007,2026-05-31 14:04:00,,3727,6765,201,18,23,8,6.707807888382076
snsmet-0048,cli-0001,cam-0001,con-0007,2026-06-01 14:04:00,,115,224,7,0,2,0,7.82608695652174
snsmet-0049,cli-0001,cam-0001,con-0007,2026-06-02 14:04:00,,224,421,16,1,2,1,8.928571428571429
snsmet-0050,cli-0001,cam-0001,con-0008,2026-05-27 14:48:00,23897,6295,8799,255,12,69,25,5.734710087370929
snsmet-0051,cli-0001,cam-0001,con-0008,2026-05-28 14:48:00,2481,11573,18058,801,21,86,19,8.010023330165039
snsmet-0052,cli-0001,cam-0001,con-0008,2026-05-29 14:48:00,19960,10942,14261,291,17,30,29,3.354048619996344
snsmet-0053,cli-0001,cam-0001,con-0008,2026-05-30 14:48:00,19422,7212,14158,510,45,29,76,9.151414309484194
snsmet-0054,cli-0001,cam-0001,con-0008,2026-05-31 14:48:00,3431,1107,1865,30,2,6,0,3.4327009936766033
snsmet-0055,cli-0001,cam-0001,con-0008,2026-06-01 14:48:00,4497,963,1331,42,3,5,6,5.815160955347872
snsmet-0056,cli-0001,cam-0001,con-0008,2026-06-02 14:48:00,2049,779,1353,52,3,13,3,9.114249037227214
snsmet-0057,cli-0001,cam-0001,con-0009,2026-05-28 01:15:00,14541,,41576,421,30,,55,3.4798156935561515
snsmet-0058,cli-0001,cam-0001,con-0009,2026-05-29 01:15:00,34124,,19340,1151,99,,137,4.064587973273942
snsmet-0059,cli-0001,cam-0001,con-0009,2026-05-30 01:15:00,22551,,2776,1428,46,,127,7.099463438428451
snsmet-0060,cli-0001,cam-0001,con-0009,2026-05-31 01:15:00,634,,6883,40,2,,4,7.255520504731862
snsmet-0061,cli-0001,cam-0001,con-0009,2026-06-01 01:15:00,788,,4810,46,1,,6,6.725888324873096
snsmet-0062,cli-0001,cam-0001,con-0009,2026-06-02 01:15:00,2393,,3851,147,14,,9,7.1040534893439204
snsmet-0063,cli-0001,cam-0001,con-0009,2026-06-03 01:15:00,972,,1304,51,4,,2,5.864197530864197
snsmet-0064,cli-0001,cam-0001,con-0010,2026-05-28 03:45:00,,11969,22522,,,,426,3.5591945860138687
snsmet-0065,cli-0001,cam-0001,con-0010,2026-05-29 03:45:00,,2725,4473,,,,50,1.834862385321101
snsmet-0066,cli-0001,cam-0001,con-0010,2026-05-30 03:45:00,,14739,24300,,,,512,3.473777054074225
snsmet-0067,cli-0001,cam-0001,con-0010,2026-05-31 03:45:00,,5596,10639,,,,201,3.5918513223731234
snsmet-0068,cli-0001,cam-0001,con-0010,2026-06-01 03:45:00,,1139,1734,,,,18,1.5803336259877085
snsmet-0069,cli-0001,cam-0001,con-0010,2026-06-02 03:45:00,,398,520,,,,4,1.0050251256281406
snsmet-0070,cli-0001,cam-0001,con-0010,2026-06-03 03:45:00,,672,821,,,,27,4.017857142857143
snsmet-0071,cli-0001,cam-0002,con-0011,2026-05-28 04:11:00,6873,1218,2197,93,6,15,8,10.016420361247947
snsmet-0072,cli-0001,cam-0002,con-0011,2026-05-29 04:11:00,5391,4498,7629,131,4,10,1,3.2458870609159627
snsmet-0073,cli-0001,cam-0002,con-0011,2026-05-30 04:11:00,136,9601,16929,529,49,43,29,6.770128111655035
snsmet-0074,cli-0001,cam-0002,con-0011,2026-05-31 04:11:00,14826,1822,2496,91,8,20,5,6.805708013172337
snsmet-0075,cli-0001,cam-0002,con-0011,2026-06-01 04:11:00,5311,1829,2394,103,9,16,6,7.3264078731547295
snsmet-0076,cli-0001,cam-0002,con-0011,2026-06-02 04:11:00,3376,805,975,16,0,1,1,2.236024844720497
snsmet-0077,cli-0001,cam-0002,con-0011,2026-06-03 04:11:00,1630,637,943,46,4,7,2,9.262166405023548
snsmet-0078,cli-0001,cam-0001,con-0012,2026-05-28 08:16:00,11534,,20463,875,75,,63,8.782729322004508
snsmet-0079,cli-0001,cam-0001,con-0012,2026-05-29 08:16:00,27670,,17057,1491,57,,64,5.825804119985544
snsmet-0080,cli-0001,cam-0001,con-0012,2026-05-30 08:16:00,34337,,32164,2121,179,,132,7.082738736639777
snsmet-0081,cli-0001,cam-0001,con-0012,2026-05-31 08:16:00,10340,,2041,779,10,,32,7.940038684719536
snsmet-0082,cli-0001,cam-0001,con-0012,2026-06-01 08:16:00,203,,6982,12,0,,0,5.911330049261084
snsmet-0083,cli-0001,cam-0001,con-0012,2026-06-02 08:16:00,2425,,2319,70,2,,6,3.216494845360825
snsmet-0084,cli-0001,cam-0001,con-0012,2026-06-03 08:16:00,1213,,367,66,1,,6,6.018136850783183
snsmet-0085,cli-0001,cam-0001,con-0013,2026-05-28 15:50:00,23247,,32479,1311,22,,126,6.276078633802211
snsmet-0086,cli-0001,cam-0001,con-0013,2026-05-29 15:50:00,23085,,42570,1049,76,,78,5.211176088369071
snsmet-0087,cli-0001,cam-0001,con-0013,2026-05-30 15:50:00,7249,,30776,465,18,,29,7.06304317836943
snsmet-0088,cli-0001,cam-0001,con-0013,2026-05-31 15:50:00,6904,,8060,525,39,,68,9.154113557358054
snsmet-0089,cli-0001,cam-0001,con-0013,2026-06-01 15:50:00,1853,,1128,139,2,,11,8.202914193200215
snsmet-0090,cli-0001,cam-0001,con-0013,2026-06-02 15:50:00,2127,,4328,100,3,,7,5.171603196991067
snsmet-0091,cli-0001,cam-0001,con-0013,2026-06-03 15:50:00,609,,2366,16,0,,0,2.6272577996715927
snsmet-0092,cli-0001,cam-0001,con-0014,2026-05-29 15:49:00,,9151,12871,,,,139,1.5189596765380833
snsmet-0093,cli-0001,cam-0001,con-0014,2026-05-30 15:49:00,,5320,8338,,,,241,4.530075187969925
snsmet-0094,cli-0001,cam-0001,con-0014,2026-05-31 15:49:00,,6796,13483,,,,190,2.7957622130665096
snsmet-0095,cli-0001,cam-0001,con-0014,2026-06-01 15:49:00,,3602,5741,,,,64,1.776790671848973
snsmet-0096,cli-0001,cam-0001,con-0014,2026-06-02 15:49:00,,2589,3787,,,,63,2.4333719582850524
snsmet-0097,cli-0001,cam-0001,con-0014,2026-06-03 15:49:00,,464,791,,,,12,2.586206896551724
snsmet-0098,cli-0001,cam-0001,con-0014,2026-06-04 15:49:00,,565,786,,,,24,4.2477876106194685
snsmet-0099,cli-0001,cam-0001,con-0015,2026-05-29 21:28:00,40774,,728,1791,158,,221,5.322018933634179
snsmet-0100,cli-0001,cam-0001,con-0015,2026-05-30 21:28:00,2439,,663,56,0,,6,2.5420254202542023
snsmet-0101,cli-0001,cam-0001,con-0015,2026-05-31 21:28:00,1722,,33960,69,6,,9,4.878048780487805
snsmet-0102,cli-0001,cam-0001,con-0015,2026-06-01 21:28:00,1078,,18912,73,4,,0,7.142857142857142
snsmet-0103,cli-0001,cam-0001,con-0015,2026-06-02 21:28:00,9638,,2784,195,18,,7,2.2826312512969493
snsmet-0104,cli-0001,cam-0001,con-0015,2026-06-03 21:28:00,525,,1677,21,1,,0,4.190476190476191
snsmet-0105,cli-0001,cam-0001,con-0015,2026-06-04 21:28:00,1100,,370,48,4,,4,5.090909090909091
snsmet-0106,cli-0001,cam-0001,con-0016,2026-05-30 15:46:00,39504,,24466,2063,85,,279,6.143681652490887
snsmet-0107,cli-0001,cam-0001,con-0016,2026-05-31 15:46:00,31501,,35092,2368,187,,104,8.441001872956413
snsmet-0108,cli-0001,cam-0001,con-0016,2026-06-01 15:46:00,11888,,3706,484,22,,67,4.819986541049799
snsmet-0109,cli-0001,cam-0001,con-0016,2026-06-02 15:46:00,5066,,14108,206,10,,3,4.322937228582708
snsmet-0110,cli-0001,cam-0001,con-0016,2026-06-03 15:46:00,7732,,3420,496,32,,69,7.72115882048629
snsmet-0111,cli-0001,cam-0001,con-0016,2026-06-04 15:46:00,356,,3230,16,1,,0,4.775280898876404
snsmet-0112,cli-0001,cam-0001,con-0016,2026-06-05 15:46:00,1342,,274,44,4,,1,3.651266766020864
snsmet-0113,cli-0001,cam-0002,con-0017,2026-05-30 23:31:00,38952,,8335,1836,145,,143,5.452865064695009
snsmet-0114,cli-0001,cam-0002,con-0017,2026-05-31 23:31:00,21528,,20295,612,29,,28,3.1075808249721293
snsmet-0115,cli-0001,cam-0002,con-0017,2026-06-01 23:31:00,7133,,31670,218,10,,10,3.3366045142296366
snsmet-0116,cli-0001,cam-0002,con-0017,2026-06-02 23:31:00,12214,,9430,609,46,,32,5.624692975274275
snsmet-0117,cli-0001,cam-0002,con-0017,2026-06-03 23:31:00,2613,,6333,117,3,,14,5.128205128205128
snsmet-0118,cli-0001,cam-0002,con-0017,2026-06-04 23:31:00,4803,,1113,359,7,,30,8.244846970643348
snsmet-0119,cli-0001,cam-0002,con-0017,2026-06-05 23:31:00,1179,,1098,49,2,,2,4.495335029686174
snsmet-0120,cli-0001,cam-0002,con-0018,2026-05-31 04:47:00,,17568,26201,,,,244,1.3888888888888888
snsmet-0121,cli-0001,cam-0002,con-0018,2026-06-01 04:47:00,,18725,30011,,,,552,2.947930574098798
snsmet-0122,cli-0001,cam-0002,con-0018,2026-06-02 04:47:00,,16811,29458,,,,269,1.6001427636666468
snsmet-0123,cli-0001,cam-0002,con-0018,2026-06-03 04:47:00,,726,894,,,,16,2.203856749311295
snsmet-0124,cli-0001,cam-0002,con-0018,2026-06-04 04:47:00,,113,207,,,,4,3.5398230088495577
snsmet-0125,cli-0001,cam-0002,con-0018,2026-06-05 04:47:00,,544,926,,,,15,2.7573529411764706
snsmet-0126,cli-0001,cam-0002,con-0018,2026-06-06 04:47:00,,94,118,,,,2,2.127659574468085
snsmet-0127,cli-0001,cam-0002,con-0019,2026-05-31 06:11:00,42530,,21689,1908,85,,67,4.843639783682107
snsmet-0128,cli-0001,cam-0002,con-0019,2026-06-01 06:11:00,4803,,10615,120,8,,10,2.873204247345409
snsmet-0129,cli-0001,cam-0002,con-0019,2026-06-02 06:11:00,27609,,19486,2203,65,,240,9.083994349668586
snsmet-0130,cli-0001,cam-0002,con-0019,2026-06-03 06:11:00,19086,,14998,956,91,,23,5.606203499947606
snsmet-0131,cli-0001,cam-0002,con-0019,2026-06-04 06:11:00,1622,,1869,90,7,,8,6.473489519112208
snsmet-0132,cli-0001,cam-0002,con-0019,2026-06-05 06:11:00,1377,,2371,33,0,,1,2.4691358024691357
snsmet-0133,cli-0001,cam-0002,con-0019,2026-06-06 06:11:00,1363,,1905,88,4,,12,7.630227439471754
snsmet-0134,cli-0001,cam-0003,con-0020,2026-06-07 11:39:00,17412,,,567,50,,44,3.79623248334482
snsmet-0135,cli-0001,cam-0003,con-0020,2026-06-08 11:39:00,31606,,,2335,221,,286,8.991963551224451
snsmet-0136,cli-0001,cam-0003,con-0020,2026-06-09 11:39:00,5873,,,189,9,,16,3.643793631874681
snsmet-0137,cli-0001,cam-0003,con-0020,2026-06-10 11:39:00,18181,,,571,37,,9,3.3936527143721467
snsmet-0138,cli-0001,cam-0003,con-0020,2026-06-11 11:39:00,5089,,,112,2,,11,2.456278247199843
snsmet-0139,cli-0001,cam-0003,con-0020,2026-06-12 11:39:00,20,,,0,0,,0,0.0
snsmet-0140,cli-0001,cam-0003,con-0020,2026-06-13 11:39:00,1075,,,57,1,,5,5.8604651162790695
snsmet-0141,cli-0001,cam-0003,con-0021,2026-06-07 16:13:00,22361,,,535,50,,66,2.911318814006529
snsmet-0142,cli-0001,cam-0003,con-0021,2026-06-08 16:13:00,22248,,,1480,101,,198,7.996224379719526
snsmet-0143,cli-0001,cam-0003,con-0021,2026-06-09 16:13:00,41396,,,1953,126,,81,5.217895448835637
snsmet-0144,cli-0001,cam-0003,con-0021,2026-06-10 16:13:00,16609,,,854,47,,33,5.623457161779758
snsmet-0145,cli-0001,cam-0003,con-0021,2026-06-11 16:13:00,9030,,,419,12,,40,5.21594684385382
snsmet-0146,cli-0001,cam-0003,con-0021,2026-06-12 16:13:00,2240,,,98,2,,6,4.732142857142857
snsmet-0147,cli-0001,cam-0003,con-0021,2026-06-13 16:13:00,907,,,48,1,,6,6.063947078280044
snsmet-0148,cli-0001,cam-0003,con-0022,2026-06-07 16:36:00,14820,,,434,11,,59,3.4008097165991904
snsmet-0149,cli-0001,cam-0003,con-0022,2026-06-08 16:36:00,38324,,,1184,94,,70,3.517378144243816
snsmet-0150,cli-0001,cam-0003,con-0022,2026-06-09 16:36:00,5417,,,388,16,,16,7.753369023444712
snsmet-0151,cli-0001,cam-0003,con-0022,2026-06-10 16:36:00,671,,,51,0,,6,8.49478390461997
snsmet-0152,cli-0001,cam-0003,con-0022,2026-06-11 16:36:00,6765,,,286,27,,13,4.818920916481892
snsmet-0153,cli-0001,cam-0003,con-0022,2026-06-12 16:36:00,1619,,,58,5,,7,4.323656578134651
snsmet-0154,cli-0001,cam-0003,con-0022,2026-06-13 16:36:00,495,,,29,2,,2,6.666666666666667
snsmet-0155,cli-0001,cam-0003,con-0023,2026-06-08 14:02:00,27890,,22556,1241,123,,128,5.349587665830047
snsmet-0156,cli-0001,cam-0003,con-0023,2026-06-09 14:02:00,21184,,25613,455,11,,10,2.246978851963746
snsmet-0157,cli-0001,cam-0003,con-0023,2026-06-10 14:02:00,37047,,24050,1088,49,,105,3.352498177990121
snsmet-0158,cli-0001,cam-0003,con-0023,2026-06-11 14:02:00,17475,,5522,1100,86,,80,7.244635193133048
snsmet-0159,cli-0001,cam-0003,con-0023,2026-06-12 14:02:00,8511,,8469,506,36,,46,6.908706379978851
snsmet-0160,cli-0001,cam-0003,con-0023,2026-06-13 14:02:00,4908,,2643,106,2,,3,2.26161369193154
snsmet-0161,cli-0001,cam-0003,con-0023,2026-06-14 14:02:00,2201,,887,73,6,,8,3.9527487505679235
snsmet-0162,cli-0001,cam-0003,con-0024,2026-06-09 04:47:00,,13121,20977,,,,314,2.393110281228565
snsmet-0163,cli-0001,cam-0003,con-0024,2026-06-10 04:47:00,,10417,13224,,,,426,4.089469136987616
snsmet-0164,cli-0001,cam-0003,con-0024,2026-06-11 04:47:00,,725,1181,,,,26,3.5862068965517238
snsmet-0165,cli-0001,cam-0003,con-0024,2026-06-12 04:47:00,,6783,11324,,,,118,1.7396432257113372
snsmet-0166,cli-0001,cam-0003,con-0024,2026-06-13 04:47:00,,3506,6298,,,,59,1.6828294352538506
snsmet-0167,cli-0001,cam-0003,con-0024,2026-06-14 04:47:00,,990,1529,,,,13,1.3131313131313131
snsmet-0168,cli-0001,cam-0003,con-0024,2026-06-15 04:47:00,,238,309,,,,8,3.361344537815126
snsmet-0169,cli-0001,cam-0003,con-0025,2026-06-10 00:58:00,,15338,21887,525,17,31,22,3.8792541400443343
snsmet-0170,cli-0001,cam-0003,con-0025,2026-06-11 00:58:00,,2366,3526,61,1,16,3,3.423499577345731
snsmet-0171,cli-0001,cam-0003,con-0025,2026-06-12 00:58:00,,13028,22365,450,40,87,41,4.74362910653976
snsmet-0172,cli-0001,cam-0003,con-0025,2026-06-13 00:58:00,,5839,9673,369,35,58,29,8.408974139407432
snsmet-0173,cli-0001,cam-0003,con-0025,2026-06-14 00:58:00,,3901,5792,278,24,64,41,10.433222250704947
snsmet-0174,cli-0001,cam-0003,con-0025,2026-06-15 00:58:00,,305,606,21,1,3,0,8.19672131147541
snsmet-0175,cli-0001,cam-0003,con-0025,2026-06-16 00:58:00,,798,1344,34,2,9,3,6.015037593984962
snsmet-0176,cli-0001,cam-0003,con-0026,2026-06-10 22:37:00,44262,,28178,2659,158,,177,6.764267317337672
snsmet-0177,cli-0001,cam-0003,con-0026,2026-06-11 22:37:00,22587,,27274,729,12,,50,3.502014433080976
snsmet-0178,cli-0001,cam-0003,con-0026,2026-06-12 22:37:00,25568,,13162,961,44,,106,4.345275344180225
snsmet-0179,cli-0001,cam-0003,con-0026,2026-06-13 22:37:00,522,,17792,38,1,,4,8.237547892720306
snsmet-0180,cli-0001,cam-0003,con-0026,2026-06-14 22:37:00,1355,,4130,28,0,,4,2.3616236162361623
snsmet-0181,cli-0001,cam-0003,con-0026,2026-06-15 22:37:00,2725,,474,68,5,,1,2.7155963302752295
snsmet-0182,cli-0001,cam-0003,con-0026,2026-06-16 22:37:00,473,,1061,15,0,,0,3.171247357293869
snsmet-0183,cli-0001,cam-0003,con-0027,2026-06-10 23:13:00,40294,6799,9101,146,2,30,16,2.853360788351228
snsmet-0184,cli-0001,cam-0003,con-0027,2026-06-11 23:13:00,20861,4241,8131,130,3,30,11,4.102805941994812
snsmet-0185,cli-0001,cam-0003,con-0027,2026-06-12 23:13:00,4700,14466,18287,795,56,65,38,6.594773952716714
snsmet-0186,cli-0001,cam-0003,con-0027,2026-06-13 23:13:00,11728,5366,8690,243,4,55,5,5.721207603428997
snsmet-0187,cli-0001,cam-0003,con-0027,2026-06-14 23:13:00,749,3615,5524,265,22,73,5,10.096818810511756
snsmet-0188,cli-0001,cam-0003,con-0027,2026-06-15 23:13:00,3196,831,1650,57,3,5,7,8.664259927797833
snsmet-0189,cli-0001,cam-0003,con-0027,2026-06-16 23:13:00,1628,860,1109,34,1,3,1,4.534883720930233
snsmet-0190,cli-0001,cam-0003,con-0028,2026-06-11 16:52:00,13545,,39298,481,30,,26,3.9645625692137325
snsmet-0191,cli-0001,cam-0003,con-0028,2026-06-12 16:52:00,629,,40808,26,2,,1,4.610492845786964
snsmet-0192,cli-0001,cam-0003,con-0028,2026-06-13 16:52:00,29551,,12480,1637,67,,97,6.094548407837299
snsmet-0193,cli-0001,cam-0003,con-0028,2026-06-14 16:52:00,3197,,201,115,8,,2,3.90991554582421
snsmet-0194,cli-0001,cam-0003,con-0028,2026-06-15 16:52:00,5604,,6796,321,19,,26,6.5310492505353315
snsmet-0195,cli-0001,cam-0003,con-0028,2026-06-16 16:52:00,3030,,3429,135,4,,2,4.653465346534653
snsmet-0196,cli-0001,cam-0003,con-0028,2026-06-17 16:52:00,165,,1400,8,0,,0,4.848484848484849
snsmet-0197,cli-0001,cam-0003,con-0029,2026-06-12 02:18:00,46576,1931,3752,89,7,15,3,5.903676851372346
snsmet-0198,cli-0001,cam-0003,con-0029,2026-06-13 02:18:00,37385,8743,14385,329,22,45,28,4.849593960882991
snsmet-0199,cli-0001,cam-0003,con-0029,2026-06-14 02:18:00,15023,15340,25422,1179,102,233,157,10.89308996088657
snsmet-0200,cli-0001,cam-0003,con-0029,2026-06-15 02:18:00,17766,432,615,28,2,2,2,7.87037037037037
snsmet-0201,cli-0001,cam-0003,con-0029,2026-06-16 02:18:00,4787,3379,6134,95,7,14,8,3.669724770642202
snsmet-0202,cli-0001,cam-0003,con-0029,2026-06-17 02:18:00,2366,1340,1808,96,8,28,5,10.223880597014926
snsmet-0203,cli-0001,cam-0003,con-0029,2026-06-18 02:18:00,81,390,568,19,1,2,1,5.897435897435897
snsmet-0204,cli-0001,cam-0003,con-0030,2026-06-13 06:20:00,20080,,,1479,105,,153,8.650398406374501
snsmet-0205,cli-0001,cam-0003,con-0030,2026-06-14 06:20:00,26341,,,1790,117,,267,8.253293344975514
snsmet-0206,cli-0001,cam-0003,con-0030,2026-06-15 06:20:00,42372,,,1928,149,,197,5.366751628433872
snsmet-0207,cli-0001,cam-0003,con-0030,2026-06-16 06:20:00,10694,,,228,5,,20,2.365812605199177
snsmet-0208,cli-0001,cam-0003,con-0030,2026-06-17 06:20:00,5734,,,207,18,,23,4.325078479246599
snsmet-0209,cli-0001,cam-0003,con-0030,2026-06-18 06:20:00,3750,,,196,17,,14,6.053333333333334
snsmet-0210,cli-0001,cam-0003,con-0030,2026-06-19 06:20:00,2366,,,137,1,,2,5.9171597633136095
snsmet-0211,cli-0001,cam-0003,con-0031,2026-06-13 08:16:00,46645,,,1654,139,,146,4.156930003215779
snsmet-0212,cli-0001,cam-0003,con-0031,2026-06-14 08:16:00,811,,,23,0,,3,3.2059186189889024
snsmet-0213,cli-0001,cam-0003,con-0031,2026-06-15 08:16:00,20865,,,1462,58,,50,7.52456266474958
snsmet-0214,cli-0001,cam-0003,con-0031,2026-06-16 08:16:00,15449,,,1221,93,,130,9.346883293417049
snsmet-0215,cli-0001,cam-0003,con-0031,2026-06-17 08:16:00,1478,,,76,1,,2,5.345060893098782
snsmet-0216,cli-0001,cam-0003,con-0031,2026-06-18 08:16:00,4671,,,141,11,,11,3.4896167844144723
snsmet-0217,cli-0001,cam-0003,con-0031,2026-06-19 08:16:00,1077,,,39,3,,0,3.8997214484679668
snsmet-0218,cli-0001,cam-0003,con-0032,2026-06-13 09:43:00,38559,,48529,813,45,,59,2.378173707824373
snsmet-0219,cli-0001,cam-0003,con-0032,2026-06-14 09:43:00,24993,,5880,1870,19,,216,8.422358260312887
snsmet-0220,cli-0001,cam-0003,con-0032,2026-06-15 09:43:00,18631,,14994,504,18,,29,2.95743653051366
snsmet-0221,cli-0001,cam-0003,con-0032,2026-06-16 09:43:00,1972,,15365,107,7,,11,6.338742393509128
snsmet-0222,cli-0001,cam-0003,con-0032,2026-06-17 09:43:00,6594,,8471,240,23,,29,4.428268122535639
snsmet-0223,cli-0001,cam-0003,con-0032,2026-06-18 09:43:00,4421,,4459,235,15,,32,6.378647364849581
snsmet-0224,cli-0001,cam-0003,con-0032,2026-06-19 09:43:00,634,,2041,37,1,,1,6.151419558359621
snsmet-0225,cli-0001,cam-0003,con-0033,2026-06-13 22:11:00,,13245,20890,,,,219,1.6534541336353341
snsmet-0226,cli-0001,cam-0003,con-0033,2026-06-14 22:11:00,,10593,16201,,,,161,1.5198716133295571
snsmet-0227,cli-0001,cam-0003,con-0033,2026-06-15 22:11:00,,8888,13146,,,,346,3.8928892889288926
snsmet-0228,cli-0001,cam-0003,con-0033,2026-06-16 22:11:00,,991,1926,,,,42,4.238143289606458
snsmet-0229,cli-0001,cam-0003,con-0033,2026-06-17 22:11:00,,890,1659,,,,16,1.7977528089887642
snsmet-0230,cli-0001,cam-0003,con-0033,2026-06-18 22:11:00,,588,1159,,,,17,2.891156462585034
snsmet-0231,cli-0001,cam-0003,con-0033,2026-06-19 22:11:00,,703,913,,,,30,4.267425320056899
