influencer_fit_score_id,influencer_id,campaign_id,influencer_metric_id,fit_score,category_match_score,audience_match_score,engagement_match_score
inffit-0049,inf-0086,cam-0001,infmet-0516,54.03,20,65.8,80.0
inffit-0050,inf-0047,cam-0001,infmet-0282,53.62,35,74.12,51.43
inffit-0051,inf-0054,cam-0002,infmet-0324,83.58,100,70.23,80.0
inffit-0052,inf-0105,cam-0002,infmet-0630,82.49,100,73.96,72.0
inffit-0053,inf-0156,cam-0002,infmet-0936,80.71,100,79.18,60.0
inffit-0054,inf-0196,cam-0002,infmet-1176,79.01,100,70.88,64.0
inffit-0055,inf-0022,cam-0002,infmet-0132,76.67,100,71.05,56.0
inffit-0056,inf-0035,cam-0002,infmet-0210,76.65,100,50.43,80.0
inffit-0057,inf-0145,cam-0002,infmet-0870,74.25,100,71.0,48.0
inffit-0058,inf-0200,cam-0002,infmet-1200,71.95,100,37.0,80.0
inffit-0059,inf-0191,cam-0002,infmet-1146,71.76,100,59.33,53.33
inffit-0060,inf-0199,cam-0002,infmet-1194,70.92,100,68.34,40.0
inffit-0061,inf-0178,cam-0002,infmet-1068,69.91,100,76.87,26.67
inffit-0062,inf-0069,cam-0002,infmet-0414,68.52,45,82.21,80.0
inffit-0063,inf-0176,cam-0002,infmet-1056,64.41,45,77.31,72.0
inffit-0064,inf-0190,cam-0002,infmet-1140,63.73,45,68.52,80.0
inffit-0065,inf-0058,cam-0002,infmet-0348,63.69,35,78.39,80.0
inffit-0066,inf-0122,cam-0002,infmet-0732,63.64,35,88.06,68.57
inffit-0067,inf-0100,cam-0002,infmet-0600,63.46,45,67.75,80.0
inffit-0068,inf-0092,cam-0002,infmet-0552,63.0,25,86.44,80.0
inffit-0069,inf-0121,cam-0002,infmet-0726,62.89,45,74.68,70.0
inffit-0070,inf-0132,cam-0002,infmet-0792,62.79,100,51.97,32.0
inffit-0071,inf-0137,cam-0002,infmet-0822,62.57,35,80.92,73.33
inffit-0072,inf-0030,cam-0002,infmet-0180,62.51,25,85.04,80.0
inffit-0073,inf-0077,cam-0002,infmet-0462,62.26,100,64.18,16.0
inffit-0074,inf-0033,cam-0002,infmet-0198,60.9,100,56.85,20.0
inffit-0075,inf-0082,cam-0002,infmet-0492,60.78,100,53.1,24.0
inffit-0076,inf-0186,cam-0002,infmet-1116,60.39,30,73.96,80.0
inffit-0077,inf-0107,cam-0002,infmet-0642,59.52,35,66.49,80.0
inffit-0078,inf-0169,cam-0002,infmet-1014,58.34,30,73.4,73.85
inffit-0079,inf-0159,cam-0002,infmet-0954,58.21,35,62.73,80.0
inffit-0080,inf-0012,cam-0002,infmet-0072,58.02,30,67.21,80.0
inffit-0081,inf-0194,cam-0002,infmet-1164,57.93,35,61.94,80.0
inffit-0082,inf-0091,cam-0002,infmet-0546,57.34,30,86.35,55.38
inffit-0083,inf-0153,cam-0002,infmet-0918,56.75,35,68.37,68.57
inffit-0084,inf-0042,cam-0002,infmet-0252,56.43,20,72.65,80.0
inffit-0085,inf-0135,cam-0002,infmet-0810,56.24,30,72.66,67.69
inffit-0086,inf-0118,cam-0002,infmet-0708,56.22,100,26.34,40.0
inffit-0087,inf-0117,cam-0002,infmet-0702,55.99,20,71.41,80.0
inffit-0088,inf-0134,cam-0002,infmet-0804,55.97,25,80.06,64.0
inffit-0089,inf-0168,cam-0002,infmet-1008,55.84,25,88.83,53.33
inffit-0090,inf-0051,cam-0002,infmet-0306,55.82,35,55.92,80.0
inffit-0091,inf-0112,cam-0002,infmet-0672,55.8,45,59.56,64.0
inffit-0092,inf-0050,cam-0002,infmet-0300,55.64,35,72.55,60.0
inffit-0093,inf-0146,cam-0002,infmet-0876,54.9,100,50.0,8.0
inffit-0094,inf-0154,cam-0002,infmet-0924,54.62,30,73.3,61.54
inffit-0095,inf-0020,cam-0002,infmet-0120,54.35,35,71.31,57.14
inffit-0096,inf-0017,cam-0002,infmet-0102,54.16,20,75.98,68.57
inffit-0097,inf-0036,cam-0002,infmet-0216,53.91,25,60.46,80.0
inffit-0098,inf-0125,cam-0002,infmet-0750,53.77,20,84.64,57.14
inffit-0099,inf-0034,cam-0002,infmet-0204,53.73,35,61.36,66.67
inffit-0100,inf-0074,cam-0002,infmet-0444,53.67,25,59.77,80.0
inffit-0101,inf-0054,cam-0003,infmet-0324,93.33,100,98.08,80.0
inffit-0102,inf-0035,cam-0003,infmet-0210,90.71,100,90.59,80.0
inffit-0103,inf-0200,cam-0003,infmet-1200,85.65,100,76.15,80.0
inffit-0104,inf-0156,cam-0003,infmet-0936,83.41,100,86.88,60.0
inffit-0105,inf-0105,cam-0003,infmet-0630,83.2,100,76.0,72.0
inffit-0106,inf-0191,cam-0003,infmet-1146,83.06,100,91.6,53.33
inffit-0107,inf-0145,cam-0003,infmet-0870,80.91,100,90.03,48.0
inffit-0108,inf-0196,cam-0003,infmet-1176,80.6,100,75.43,64.0
inffit-0109,inf-0022,cam-0003,infmet-0132,80.41,100,81.73,56.0
inffit-0110,inf-0178,cam-0003,infmet-1068,78.0,100,100.0,26.67
inffit-0111,inf-0199,cam-0003,infmet-1194,75.53,100,81.5,40.0
inffit-0112,inf-0033,cam-0003,infmet-0198,74.47,100,95.64,20.0
inffit-0113,inf-0132,cam-0003,infmet-0792,73.73,100,83.22,32.0
inffit-0114,inf-0077,cam-0003,infmet-0462,72.44,100,93.26,16.0
inffit-0115,inf-0069,cam-0003,infmet-0414,72.03,45,92.22,80.0
inffit-0116,inf-0118,cam-0003,infmet-0708,71.55,100,70.14,40.0
inffit-0117,inf-0107,cam-0003,infmet-0642,70.86,35,98.88,80.0
inffit-0118,inf-0190,cam-0003,infmet-1140,69.75,45,85.7,80.0
inffit-0119,inf-0058,cam-0003,infmet-0348,69.49,35,94.96,80.0
inffit-0120,inf-0082,cam-0003,infmet-0492,69.3,100,77.43,24.0
inffit-0121,inf-0137,cam-0003,infmet-0822,69.14,35,99.7,73.33
inffit-0122,inf-0100,cam-0003,infmet-0600,68.7,45,82.72,80.0
inffit-0123,inf-0186,cam-0003,infmet-1116,68.67,30,97.64,80.0
inffit-0124,inf-0024,cam-0003,infmet-0144,68.1,35,95.89,74.29
inffit-0125,inf-0169,cam-0003,infmet-1014,67.66,30,100.0,73.85
inffit-0126,inf-0092,cam-0003,infmet-0552,67.62,25,99.64,80.0
inffit-0127,inf-0121,cam-0003,infmet-0726,67.53,45,87.95,70.0
inffit-0128,inf-0146,cam-0003,infmet-0876,67.25,100,85.29,8.0
inffit-0129,inf-0176,cam-0003,infmet-1056,66.92,45,84.5,72.0
inffit-0130,inf-0112,cam-0003,infmet-0672,66.58,45,90.37,64.0
inffit-0131,inf-0194,cam-0003,infmet-1164,66.46,35,86.31,80.0
inffit-0132,inf-0153,cam-0003,infmet-0918,66.16,35,95.24,68.57
inffit-0133,inf-0122,cam-0003,infmet-0732,65.56,35,93.55,68.57
inffit-0134,inf-0074,cam-0003,infmet-0444,65.01,25,92.18,80.0
inffit-0135,inf-0036,cam-0003,infmet-0216,64.88,25,91.79,80.0
inffit-0136,inf-0165,cam-0003,infmet-0990,64.78,25,91.52,80.0
inffit-0137,inf-0159,cam-0003,infmet-0954,64.57,35,80.92,80.0
inffit-0138,inf-0030,cam-0003,infmet-0180,64.43,25,90.51,80.0
inffit-0139,inf-0012,cam-0003,infmet-0072,64.28,30,85.09,80.0
inffit-0140,inf-0117,cam-0003,infmet-0702,64.23,20,94.93,80.0
inffit-0141,inf-0051,cam-0003,infmet-0306,63.83,35,78.79,80.0
inffit-0142,inf-0134,cam-0003,infmet-0804,62.95,25,100.0,64.0
inffit-0143,inf-0031,cam-0003,infmet-0186,62.53,20,90.1,80.0
inffit-0144,inf-0005,cam-0003,infmet-0030,62.32,25,90.21,73.33
inffit-0145,inf-0061,cam-0003,infmet-0366,61.82,45,88.78,50.0
inffit-0146,inf-0042,cam-0003,infmet-0252,61.78,20,87.95,80.0
inffit-0147,inf-0078,cam-0003,infmet-0468,61.69,10,97.69,80.0
inffit-0148,inf-0195,cam-0003,infmet-1170,61.46,10,97.03,80.0
inffit-0149,inf-0142,cam-0003,infmet-0852,61.09,30,75.96,80.0
inffit-0150,inf-0109,cam-0003,infmet-0654,61.01,45,95.02,40.0
