influencer_metric_id,influencer_id,influencer_metric_date,influencer_followers_count,influencer_post_count,influencer_avg_likes,influencer_avg_comments,influencer_engagement_rate
infmet-0124,inf-0021,2026-03-31,88716,44,594.37,18.6,0.69
infmet-0125,inf-0021,2026-04-30,93552,49,634.4,32.53,0.71
infmet-0126,inf-0021,2026-05-31,98841,50,960.0,41.37,1.01
infmet-0127,inf-0022,2025-12-31,70366,447,705.39,287.25,1.41
infmet-0128,inf-0022,2026-01-31,70101,448,620.63,265.98,1.26
infmet-0129,inf-0022,2026-02-28,68364,451,671.72,253.78,1.35
infmet-0130,inf-0022,2026-03-31,73760,455,735.88,170.72,1.23
infmet-0131,inf-0022,2026-04-30,78241,457,649.31,246.22,1.14
infmet-0132,inf-0022,2026-05-31,83747,459,749.06,259.11,1.2
infmet-0133,inf-0023,2025-12-31,52625,432,490.88,210.38,1.33
infmet-0134,inf-0023,2026-01-31,52302,435,553.15,237.06,1.51
infmet-0135,inf-0023,2026-02-28,51357,439,556.67,173.02,1.42
infmet-0136,inf-0023,2026-03-31,50972,442,518.82,222.35,1.45
infmet-0137,inf-0023,2026-04-30,54145,445,598.17,236.33,1.54
infmet-0138,inf-0023,2026-05-31,58744,448,665.26,285.79,1.62
infmet-0139,inf-0024,2025-12-31,86458,459,1138.27,487.83,1.88
infmet-0140,inf-0024,2026-01-31,88674,466,1198.38,513.59,1.93
infmet-0141,inf-0024,2026-02-28,89526,473,1143.48,490.06,1.82
infmet-0142,inf-0024,2026-03-31,90077,479,990.39,424.45,1.57
infmet-0143,inf-0024,2026-04-30,88945,486,954.0,408.86,1.53
infmet-0144,inf-0024,2026-05-31,87655,493,969.77,952.81,2.19
infmet-0145,inf-0025,2025-12-31,13111,406,540.51,5.46,4.16
infmet-0146,inf-0025,2026-01-31,13453,409,555.21,5.61,4.17
infmet-0147,inf-0025,2026-02-28,14010,413,581.72,5.88,4.19
infmet-0148,inf-0025,2026-03-31,15024,418,679.94,6.87,4.57
infmet-0149,inf-0025,2026-04-30,15191,424,649.23,6.56,4.32
infmet-0150,inf-0025,2026-05-31,16024,426,548.12,3.58,3.44
infmet-0151,inf-0026,2025-12-31,35730,217,451.16,104.23,1.55
infmet-0152,inf-0026,2026-01-31,38108,218,507.57,102.7,1.6
infmet-0153,inf-0026,2026-02-28,38520,225,476.4,70.09,1.42
infmet-0154,inf-0026,2026-03-31,38231,232,436.64,83.76,1.36
infmet-0155,inf-0026,2026-04-30,38745,236,502.45,97.48,1.55
infmet-0156,inf-0026,2026-05-31,38996,240,628.46,106.29,1.88
infmet-0157,inf-0027,2025-12-31,94229,323,402.44,172.48,0.61
infmet-0158,inf-0027,2026-01-31,93408,330,356.04,152.59,0.54
infmet-0159,inf-0027,2026-02-28,96982,339,363.93,155.97,0.54
infmet-0160,inf-0027,2026-03-31,96708,342,351.2,150.52,0.52
infmet-0161,inf-0027,2026-04-30,93942,347,298.18,127.79,0.45
infmet-0162,inf-0027,2026-05-31,98951,349,262.55,217.68,0.49
infmet-0163,inf-0028,2025-12-31,17096,64,770.49,55.41,4.83
infmet-0164,inf-0028,2026-01-31,17886,66,835.34,67.39,5.05
infmet-0165,inf-0028,2026-02-28,18489,66,916.22,64.59,5.3
infmet-0166,inf-0028,2026-03-31,18636,67,972.73,93.85,5.72
infmet-0167,inf-0028,2026-04-30,18641,71,858.65,66.78,4.96
infmet-0168,inf-0028,2026-05-31,18190,73,761.65,59.91,4.52
infmet-0169,inf-0029,2025-12-31,70027,130,49.93,9.32,0.08
infmet-0170,inf-0029,2026-01-31,75667,133,54.75,20.92,0.1
infmet-0171,inf-0029,2026-02-28,79172,136,62.29,16.88,0.1
infmet-0172,inf-0029,2026-03-31,86158,138,69.39,16.77,0.1
infmet-0173,inf-0029,2026-04-30,89227,142,68.43,20.79,0.1
infmet-0174,inf-0029,2026-05-31,96433,146,51.04,14.4,0.07
infmet-0175,inf-0030,2025-12-31,51247,48,963.15,412.78,2.68
infmet-0176,inf-0030,2026-01-31,53843,51,1097.55,470.38,2.91
infmet-0177,inf-0030,2026-02-28,59100,55,1337.28,573.12,3.23
infmet-0178,inf-0030,2026-03-31,62196,59,1244.41,533.32,2.86
infmet-0179,inf-0030,2026-04-30,66015,62,1412.91,605.53,3.06
infmet-0180,inf-0030,2026-05-31,66421,63,879.34,570.78,2.18
infmet-0181,inf-0031,2025-12-31,64349,51,985.91,422.53,2.19
infmet-0182,inf-0031,2026-01-31,62761,55,1046.3,448.41,2.38
infmet-0183,inf-0031,2026-02-28,61889,63,903.25,387.11,2.08
infmet-0184,inf-0031,2026-03-31,62820,65,932.09,399.47,2.12
infmet-0185,inf-0031,2026-04-30,67060,70,1085.17,465.07,2.31
infmet-0186,inf-0031,2026-05-31,71445,71,932.15,703.76,2.29
infmet-0187,inf-0032,2025-12-31,28494,376,217.68,37.65,0.9
infmet-0188,inf-0032,2026-01-31,30378,383,186.8,44.95,0.76
infmet-0189,inf-0032,2026-02-28,32884,385,208.41,43.56,0.77
infmet-0190,inf-0032,2026-03-31,35205,390,246.58,37.52,0.81
infmet-0191,inf-0032,2026-04-30,37413,398,210.06,49.25,0.69
infmet-0192,inf-0032,2026-05-31,39575,404,253.97,47.21,0.76
infmet-0193,inf-0033,2025-12-31,27897,0,193.75,83.04,0.99
infmet-0194,inf-0033,2026-01-31,28057,1,224.02,96.01,1.14
infmet-0195,inf-0033,2026-02-28,28663,2,214.88,92.09,1.07
infmet-0196,inf-0033,2026-03-31,30003,5,218.71,93.73,1.04
infmet-0197,inf-0033,2026-04-30,30269,10,196.61,84.26,0.93
infmet-0198,inf-0033,2026-05-31,32719,14,153.59,127.26,0.86
infmet-0199,inf-0034,2025-12-31,83070,74,960.35,411.58,1.65
infmet-0200,inf-0034,2026-01-31,82759,76,1088.56,466.52,1.88
infmet-0201,inf-0034,2026-02-28,80999,83,1145.94,491.12,2.02
infmet-0202,inf-0034,2026-03-31,82416,91,1180.28,505.83,2.05
infmet-0203,inf-0034,2026-04-30,81383,97,1090.15,467.21,1.91
infmet-0204,inf-0034,2026-05-31,84199,105,886.33,564.1,1.72
infmet-0205,inf-0035,2025-12-31,23023,396,1094.99,469.28,6.79
infmet-0206,inf-0035,2026-01-31,23298,399,1087.59,466.11,6.67
infmet-0207,inf-0035,2026-02-28,23330,400,1081.32,463.42,6.62
infmet-0208,inf-0035,2026-03-31,23538,402,1252.87,536.95,7.6
infmet-0209,inf-0035,2026-04-30,24831,405,1390.93,596.11,8.0
infmet-0210,inf-0035,2026-05-31,25993,406,962.93,584.36,5.95
infmet-0211,inf-0036,2025-12-31,12741,456,632.14,200.62,6.54
infmet-0212,inf-0036,2026-01-31,12418,460,566.63,234.09,6.45
infmet-0213,inf-0036,2026-02-28,12744,460,634.73,190.98,6.48
infmet-0214,inf-0036,2026-03-31,13211,460,565.49,242.35,6.11
infmet-0215,inf-0036,2026-04-30,14455,462,566.82,198.01,5.29
infmet-0216,inf-0036,2026-05-31,15248,465,873.23,399.91,8.35
infmet-0217,inf-0037,2025-12-31,82720,267,402.71,144.37,0.66
infmet-0218,inf-0037,2026-01-31,89516,269,459.13,193.5,0.73
infmet-0219,inf-0037,2026-02-28,88135,271,463.04,133.33,0.68
infmet-0220,inf-0037,2026-03-31,85510,272,416.33,131.46,0.64
infmet-0221,inf-0037,2026-04-30,87576,274,362.38,155.31,0.59
infmet-0222,inf-0037,2026-05-31,89436,276,379.2,138.21,0.58
infmet-0223,inf-0038,2025-12-31,39759,51,703.77,301.61,2.53
infmet-0224,inf-0038,2026-01-31,39281,53,720.37,308.73,2.62
infmet-0225,inf-0038,2026-02-28,38344,53,648.68,278.01,2.42
infmet-0226,inf-0038,2026-03-31,37944,53,655.24,280.82,2.47
infmet-0227,inf-0038,2026-04-30,40316,53,715.04,306.45,2.53
infmet-0228,inf-0038,2026-05-31,41521,56,669.38,633.59,3.14
infmet-0229,inf-0039,2025-12-31,50996,0,177.77,41.85,0.43
infmet-0230,inf-0039,2026-01-31,53466,1,159.9,50.76,0.39
infmet-0231,inf-0039,2026-02-28,55021,3,171.32,39.88,0.38
infmet-0232,inf-0039,2026-03-31,59942,4,171.36,46.14,0.36
infmet-0233,inf-0039,2026-04-30,60125,6,133.38,57.16,0.32
infmet-0234,inf-0039,2026-05-31,65008,7,193.77,70.01,0.41
infmet-0235,inf-0040,2025-12-31,77844,406,801.09,343.33,1.47
infmet-0236,inf-0040,2026-01-31,76784,410,672.61,288.26,1.25
infmet-0237,inf-0040,2026-02-28,80408,419,602.2,258.09,1.07
infmet-0238,inf-0040,2026-03-31,87299,424,750.53,321.66,1.23
infmet-0239,inf-0040,2026-04-30,88279,432,778.23,333.53,1.26
infmet-0240,inf-0040,2026-05-31,94107,440,635.54,473.71,1.18
infmet-0241,inf-0041,2025-12-31,46772,106,642.1,19.35,1.41
infmet-0242,inf-0041,2026-01-31,50453,108,701.42,23.55,1.44
infmet-0243,inf-0041,2026-02-28,53292,109,714.99,26.92,1.39
infmet-0244,inf-0041,2026-03-31,53735,113,766.86,21.09,1.47
infmet-0245,inf-0041,2026-04-30,56276,114,856.1,25.0,1.57
infmet-0246,inf-0041,2026-05-31,54957,116,714.85,20.69,1.34
infmet-0247,inf-0042,2025-12-31,9004,227,684.98,293.56,10.87
infmet-0248,inf-0042,2026-01-31,9775,228,676.61,289.97,9.89
infmet-0249,inf-0042,2026-02-28,9601,229,736.13,315.49,10.95
infmet-0250,inf-0042,2026-03-31,9822,229,846.29,362.7,12.31
infmet-0251,inf-0042,2026-04-30,10192,232,802.34,343.86,11.25
infmet-0252,inf-0042,2026-05-31,10941,232,713.14,703.52,12.95
infmet-0253,inf-0043,2025-12-31,37456,43,688.89,295.24,2.63
infmet-0254,inf-0043,2026-01-31,40734,50,856.88,367.24,3.01
infmet-0255,inf-0043,2026-02-28,40066,52,811.77,347.9,2.89
infmet-0256,inf-0043,2026-03-31,41833,56,903.33,387.14,3.08
infmet-0257,inf-0043,2026-04-30,44836,63,1080.75,463.18,3.44
infmet-0258,inf-0043,2026-05-31,47752,68,831.52,817.63,3.45
infmet-0259,inf-0044,2025-12-31,31296,18,202.9,46.79,0.8
infmet-0260,inf-0044,2026-01-31,31961,22,193.59,41.79,0.74
infmet-0261,inf-0044,2026-02-28,32569,26,173.99,37.01,0.65
infmet-0262,inf-0044,2026-03-31,32425,34,176.53,49.51,0.7
infmet-0263,inf-0044,2026-04-30,33423,40,204.57,55.06,0.78
infmet-0264,inf-0044,2026-05-31,36484,48,184.59,50.91,0.65
infmet-0265,inf-0045,2025-12-31,64549,449,1318.48,565.06,2.92
infmet-0266,inf-0045,2026-01-31,66770,454,1562.1,669.47,3.34
infmet-0267,inf-0045,2026-02-28,70431,459,1886.2,808.37,3.83
infmet-0268,inf-0045,2026-03-31,77102,468,2345.47,1005.2,4.35
infmet-0269,inf-0045,2026-04-30,79615,476,2110.81,904.63,3.79
infmet-0270,inf-0045,2026-05-31,77694,480,974.54,913.42,2.43
infmet-0271,inf-0046,2025-12-31,80340,375,260.86,106.43,0.46
infmet-0272,inf-0046,2026-01-31,86828,377,299.54,128.37,0.49
infmet-0273,inf-0046,2026-02-28,86033,379,327.83,130.81,0.53
infmet-0274,inf-0046,2026-03-31,86284,380,293.66,125.85,0.49
infmet-0275,inf-0046,2026-04-30,85550,381,329.73,141.31,0.55
infmet-0276,inf-0046,2026-05-31,89015,383,268.85,161.42,0.48
infmet-0277,inf-0047,2025-12-31,71481,461,548.62,235.12,1.1
infmet-0278,inf-0047,2026-01-31,77248,465,671.14,287.63,1.24
infmet-0279,inf-0047,2026-02-28,82063,470,795.96,341.13,1.39
infmet-0280,inf-0047,2026-03-31,82218,473,863.82,370.21,1.5
infmet-0281,inf-0047,2026-04-30,84560,477,893.13,382.77,1.51
infmet-0282,inf-0047,2026-05-31,86569,483,672.34,474.04,1.32
infmet-0283,inf-0048,2025-12-31,54976,121,41.85,17.94,0.11
infmet-0284,inf-0048,2026-01-31,57289,125,41.28,17.69,0.1
infmet-0285,inf-0048,2026-02-28,56789,130,42.25,18.11,0.11
infmet-0286,inf-0048,2026-03-31,62122,133,45.73,19.6,0.11
infmet-0287,inf-0048,2026-04-30,64151,140,45.81,19.63,0.1
infmet-0288,inf-0048,2026-05-31,70168,152,33.56,29.75,0.09
infmet-0289,inf-0049,2025-12-31,62741,352,180.52,47.58,0.36
infmet-0290,inf-0049,2026-01-31,63652,353,186.9,40.22,0.36
infmet-0291,inf-0049,2026-02-28,62157,355,176.93,54.1,0.37
infmet-0292,inf-0049,2026-03-31,63051,357,162.14,37.23,0.32
infmet-0293,inf-0049,2026-04-30,68706,357,201.99,47.41,0.36
infmet-0294,inf-0049,2026-05-31,68010,358,153.27,48.45,0.3
infmet-0295,inf-0050,2025-12-31,70590,93,773.96,331.7,1.57
infmet-0296,inf-0050,2026-01-31,72704,99,719.95,308.55,1.41
infmet-0297,inf-0050,2026-02-28,77386,105,807.26,345.97,1.49
infmet-0298,inf-0050,2026-03-31,78275,110,901.29,386.27,1.64
infmet-0299,inf-0050,2026-04-30,85307,118,846.78,362.91,1.42
infmet-0300,inf-0050,2026-05-31,87105,121,830.56,650.56,1.7
infmet-0301,inf-0051,2025-12-31,3060,20,860.35,253.93,36.41
infmet-0302,inf-0051,2026-01-31,3129,27,438.06,187.74,20.0
infmet-0303,inf-0051,2026-02-28,3336,33,454.17,194.64,19.45
infmet-0304,inf-0051,2026-03-31,3395,42,453.89,194.52,19.1
infmet-0305,inf-0051,2026-04-30,3711,46,494.02,135.19,16.96
infmet-0306,inf-0051,2026-05-31,3746,51,887.13,383.5,33.92
infmet-0307,inf-0052,2025-12-31,62743,223,78.34,10.35,0.14
infmet-0308,inf-0052,2026-01-31,66308,225,94.97,10.3,0.16
infmet-0309,inf-0052,2026-02-28,66445,229,88.55,7.52,0.14
infmet-0310,inf-0052,2026-03-31,71886,232,94.87,10.38,0.15
infmet-0311,inf-0052,2026-04-30,77001,237,109.77,9.79,0.16
infmet-0312,inf-0052,2026-05-31,76671,244,88.9,8.98,0.13
infmet-0313,inf-0053,2025-12-31,40391,461,294.82,126.35,1.04
infmet-0314,inf-0053,2026-01-31,43774,467,318.53,136.51,1.04
infmet-0315,inf-0053,2026-02-28,44737,477,338.45,145.05,1.08
infmet-0316,inf-0053,2026-03-31,43530,485,312.93,134.11,1.03
infmet-0317,inf-0053,2026-04-30,46103,489,305.99,131.14,0.95
infmet-0318,inf-0053,2026-05-31,47115,494,299.37,180.48,1.02
infmet-0319,inf-0054,2025-12-31,67197,61,735.75,315.32,1.56
infmet-0320,inf-0054,2026-01-31,70814,64,848.87,363.8,1.71
infmet-0321,inf-0054,2026-02-28,70901,68,941.85,403.65,1.9
infmet-0322,inf-0054,2026-03-31,72981,74,872.83,374.07,1.71
infmet-0323,inf-0054,2026-04-30,75351,79,768.03,329.15,1.46
infmet-0324,inf-0054,2026-05-31,80561,84,784.59,684.7,1.82
infmet-0325,inf-0055,2025-12-31,47665,476,972.66,48.24,2.14
infmet-0326,inf-0055,2026-01-31,48855,482,943.46,30.93,1.99
infmet-0327,inf-0055,2026-02-28,48367,488,1035.59,40.45,2.22
infmet-0328,inf-0055,2026-03-31,48127,488,1077.56,45.63,2.33
infmet-0329,inf-0055,2026-04-30,52931,489,1048.45,43.02,2.06
infmet-0330,inf-0055,2026-05-31,54027,493,971.19,39.83,1.87
infmet-0331,inf-0056,2025-12-31,64183,0,566.42,242.75,1.26
infmet-0332,inf-0056,2026-01-31,63052,1,481.56,206.38,1.09
infmet-0333,inf-0056,2026-02-28,65394,4,525.26,225.11,1.15
infmet-0334,inf-0056,2026-03-31,71928,4,564.99,224.03,1.1
infmet-0335,inf-0056,2026-04-30,79046,4,659.32,282.57,1.19
infmet-0336,inf-0056,2026-05-31,83382,5,744.31,347.03,1.31
infmet-0337,inf-0057,2025-12-31,51821,34,419.89,91.85,0.99
infmet-0338,inf-0057,2026-01-31,50914,37,448.08,96.13,1.07
infmet-0339,inf-0057,2026-02-28,55205,38,369.3,138.43,0.92
infmet-0340,inf-0057,2026-03-31,54582,39,384.47,140.46,0.96
infmet-0341,inf-0057,2026-04-30,59281,39,481.94,143.45,1.05
infmet-0342,inf-0057,2026-05-31,61288,48,483.8,139.76,1.02
infmet-0343,inf-0058,2025-12-31,48463,435,688.2,294.94,2.03
infmet-0344,inf-0058,2026-01-31,51749,437,670.57,287.39,1.85
infmet-0345,inf-0058,2026-02-28,51929,439,723.67,310.15,1.99
infmet-0346,inf-0058,2026-03-31,55352,441,683.19,292.79,1.76
infmet-0347,inf-0058,2026-04-30,56530,442,611.06,261.88,1.54
infmet-0348,inf-0058,2026-05-31,55516,444,821.96,490.42,2.36
infmet-0349,inf-0059,2025-12-31,62204,436,838.12,65.43,1.45
infmet-0350,inf-0059,2026-01-31,68227,441,936.19,74.6,1.48
infmet-0351,inf-0059,2026-02-28,73942,446,992.84,119.35,1.5
infmet-0352,inf-0059,2026-03-31,75501,455,1122.43,125.15,1.65
infmet-0353,inf-0059,2026-04-30,77640,461,1245.84,118.11,1.76
infmet-0354,inf-0059,2026-05-31,81907,469,954.84,107.45,1.3
infmet-0355,inf-0060,2025-12-31,73543,0,644.98,276.42,1.25
infmet-0356,inf-0060,2026-01-31,73925,1,551.28,236.26,1.07
infmet-0357,inf-0060,2026-02-28,75411,1,513.82,220.21,0.97
infmet-0358,inf-0060,2026-03-31,78651,2,599.33,256.85,1.09
infmet-0359,inf-0060,2026-04-30,84743,3,674.09,288.89,1.14
infmet-0360,inf-0060,2026-05-31,90550,4,744.58,706.47,1.6
infmet-0361,inf-0061,2025-12-31,40258,140,952.98,405.81,3.38
infmet-0362,inf-0061,2026-01-31,40171,144,897.96,384.84,3.19
infmet-0363,inf-0061,2026-02-28,42515,150,928.53,372.41,3.06
infmet-0364,inf-0061,2026-03-31,42320,155,785.54,336.66,2.65
infmet-0365,inf-0061,2026-04-30,44273,161,786.63,337.13,2.54
infmet-0366,inf-0061,2026-05-31,44183,171,825.06,439.84,2.86
infmet-0367,inf-0062,2025-12-31,21610,478,115.63,49.55,0.76
infmet-0368,inf-0062,2026-01-31,23356,480,126.25,46.99,0.74
infmet-0369,inf-0062,2026-02-28,23026,482,113.24,48.53,0.7
infmet-0370,inf-0062,2026-03-31,24190,483,134.97,57.85,0.8
infmet-0371,inf-0062,2026-04-30,23827,485,136.01,58.29,0.82
infmet-0372,inf-0062,2026-05-31,23445,485,152.95,78.14,0.99
infmet-0373,inf-0063,2025-12-31,86740,315,362.79,84.22,0.52
