profile_funnel_id,client_id,profile_metric_id,funnel_at,step_no,step_name,funnel_count,opposite
profun-0036,cli-0001,promet-0009,2026-05-22 00:00:00,4,4. 웹사이트 클릭,18,-18
profun-0037,cli-0001,promet-0010,2026-05-23 00:00:00,1,1. 노출,5276,-5276
profun-0038,cli-0001,promet-0010,2026-05-23 00:00:00,2,2. 도달,2481,-2481
profun-0039,cli-0001,promet-0010,2026-05-23 00:00:00,3,3. 프로필 방문,68,-68
profun-0040,cli-0001,promet-0010,2026-05-23 00:00:00,4,4. 웹사이트 클릭,4,-4
profun-0041,cli-0001,promet-0011,2026-05-24 00:00:00,1,1. 노출,16769,-16769
profun-0042,cli-0001,promet-0011,2026-05-24 00:00:00,2,2. 도달,13467,-13467
profun-0043,cli-0001,promet-0011,2026-05-24 00:00:00,3,3. 프로필 방문,226,-226
profun-0044,cli-0001,promet-0011,2026-05-24 00:00:00,4,4. 웹사이트 클릭,17,-17
profun-0045,cli-0001,promet-0012,2026-05-25 00:00:00,1,1. 노출,13834,-13834
profun-0046,cli-0001,promet-0012,2026-05-25 00:00:00,2,2. 도달,8887,-8887
profun-0047,cli-0001,promet-0012,2026-05-25 00:00:00,3,3. 프로필 방문,138,-138
profun-0048,cli-0001,promet-0012,2026-05-25 00:00:00,4,4. 웹사이트 클릭,13,-13
profun-0049,cli-0001,promet-0013,2026-05-26 00:00:00,1,1. 노출,19490,-19490
profun-0050,cli-0001,promet-0013,2026-05-26 00:00:00,2,2. 도달,12006,-12006
profun-0051,cli-0001,promet-0013,2026-05-26 00:00:00,3,3. 프로필 방문,224,-224
profun-0052,cli-0001,promet-0013,2026-05-26 00:00:00,4,4. 웹사이트 클릭,14,-14
profun-0053,cli-0001,promet-0014,2026-05-27 00:00:00,1,1. 노출,20520,-20520
profun-0054,cli-0001,promet-0014,2026-05-27 00:00:00,2,2. 도달,10736,-10736
profun-0055,cli-0001,promet-0014,2026-05-27 00:00:00,3,3. 프로필 방문,314,-314
profun-0056,cli-0001,promet-0014,2026-05-27 00:00:00,4,4. 웹사이트 클릭,32,-32
profun-0057,cli-0001,promet-0015,2026-05-28 00:00:00,1,1. 노출,21538,-21538
profun-0058,cli-0001,promet-0015,2026-05-28 00:00:00,2,2. 도달,10184,-10184
profun-0059,cli-0001,promet-0015,2026-05-28 00:00:00,3,3. 프로필 방문,315,-315
profun-0060,cli-0001,promet-0015,2026-05-28 00:00:00,4,4. 웹사이트 클릭,26,-26
profun-0061,cli-0001,promet-0016,2026-05-29 00:00:00,1,1. 노출,12061,-12061
profun-0062,cli-0001,promet-0016,2026-05-29 00:00:00,2,2. 도달,6454,-6454
profun-0063,cli-0001,promet-0016,2026-05-29 00:00:00,3,3. 프로필 방문,167,-167
profun-0064,cli-0001,promet-0016,2026-05-29 00:00:00,4,4. 웹사이트 클릭,16,-16
profun-0065,cli-0001,promet-0017,2026-05-30 00:00:00,1,1. 노출,14334,-14334
profun-0066,cli-0001,promet-0017,2026-05-30 00:00:00,2,2. 도달,9056,-9056
profun-0067,cli-0001,promet-0017,2026-05-30 00:00:00,3,3. 프로필 방문,310,-310
profun-0068,cli-0001,promet-0017,2026-05-30 00:00:00,4,4. 웹사이트 클릭,40,-40
profun-0069,cli-0001,promet-0018,2026-05-31 00:00:00,1,1. 노출,1974,-1974
profun-0070,cli-0001,promet-0018,2026-05-31 00:00:00,2,2. 도달,1002,-1002
profun-0071,cli-0001,promet-0018,2026-05-31 00:00:00,3,3. 프로필 방문,21,-21
profun-0072,cli-0001,promet-0018,2026-05-31 00:00:00,4,4. 웹사이트 클릭,1,-1
profun-0073,cli-0001,promet-0019,2026-06-01 00:00:00,1,1. 노출,2781,-2781
profun-0074,cli-0001,promet-0019,2026-06-01 00:00:00,2,2. 도달,1984,-1984
profun-0075,cli-0001,promet-0019,2026-06-01 00:00:00,3,3. 프로필 방문,63,-63
profun-0076,cli-0001,promet-0019,2026-06-01 00:00:00,4,4. 웹사이트 클릭,5,-5
profun-0077,cli-0001,promet-0020,2026-06-02 00:00:00,1,1. 노출,11069,-11069
profun-0078,cli-0001,promet-0020,2026-06-02 00:00:00,2,2. 도달,6874,-6874
profun-0079,cli-0001,promet-0020,2026-06-02 00:00:00,3,3. 프로필 방문,195,-195
profun-0080,cli-0001,promet-0020,2026-06-02 00:00:00,4,4. 웹사이트 클릭,11,-11
profun-0081,cli-0001,promet-0021,2026-06-03 00:00:00,1,1. 노출,5191,-5191
profun-0082,cli-0001,promet-0021,2026-06-03 00:00:00,2,2. 도달,3814,-3814
profun-0083,cli-0001,promet-0021,2026-06-03 00:00:00,3,3. 프로필 방문,126,-126
profun-0084,cli-0001,promet-0021,2026-06-03 00:00:00,4,4. 웹사이트 클릭,15,-15
profun-0085,cli-0001,promet-0022,2026-06-04 00:00:00,1,1. 노출,5289,-5289
profun-0086,cli-0001,promet-0022,2026-06-04 00:00:00,2,2. 도달,3193,-3193
profun-0087,cli-0001,promet-0022,2026-06-04 00:00:00,3,3. 프로필 방문,44,-44
profun-0088,cli-0001,promet-0022,2026-06-04 00:00:00,4,4. 웹사이트 클릭,3,-3
profun-0089,cli-0001,promet-0023,2026-06-05 00:00:00,1,1. 노출,9247,-9247
profun-0090,cli-0001,promet-0023,2026-06-05 00:00:00,2,2. 도달,6092,-6092
profun-0091,cli-0001,promet-0023,2026-06-05 00:00:00,3,3. 프로필 방문,66,-66
profun-0092,cli-0001,promet-0023,2026-06-05 00:00:00,4,4. 웹사이트 클릭,3,-3
profun-0093,cli-0001,promet-0024,2026-06-06 00:00:00,1,1. 노출,23082,-23082
profun-0094,cli-0001,promet-0024,2026-06-06 00:00:00,2,2. 도달,14867,-14867
profun-0095,cli-0001,promet-0024,2026-06-06 00:00:00,3,3. 프로필 방문,241,-241
profun-0096,cli-0001,promet-0024,2026-06-06 00:00:00,4,4. 웹사이트 클릭,11,-11
profun-0097,cli-0001,promet-0025,2026-06-07 00:00:00,1,1. 노출,11964,-11964
profun-0098,cli-0001,promet-0025,2026-06-07 00:00:00,2,2. 도달,8413,-8413
profun-0099,cli-0001,promet-0025,2026-06-07 00:00:00,3,3. 프로필 방문,94,-94
profun-0100,cli-0001,promet-0025,2026-06-07 00:00:00,4,4. 웹사이트 클릭,6,-6
profun-0101,cli-0001,promet-0026,2026-06-08 00:00:00,1,1. 노출,27388,-27388
profun-0102,cli-0001,promet-0026,2026-06-08 00:00:00,2,2. 도달,15935,-15935
profun-0103,cli-0001,promet-0026,2026-06-08 00:00:00,3,3. 프로필 방문,429,-429
profun-0104,cli-0001,promet-0026,2026-06-08 00:00:00,4,4. 웹사이트 클릭,31,-31
profun-0105,cli-0001,promet-0027,2026-06-09 00:00:00,1,1. 노출,7681,-7681
profun-0106,cli-0001,promet-0027,2026-06-09 00:00:00,2,2. 도달,5291,-5291
profun-0107,cli-0001,promet-0027,2026-06-09 00:00:00,3,3. 프로필 방문,113,-113
profun-0108,cli-0001,promet-0027,2026-06-09 00:00:00,4,4. 웹사이트 클릭,7,-7
profun-0109,cli-0001,promet-0028,2026-06-10 00:00:00,1,1. 노출,22506,-22506
profun-0110,cli-0001,promet-0028,2026-06-10 00:00:00,2,2. 도달,15344,-15344
profun-0111,cli-0001,promet-0028,2026-06-10 00:00:00,3,3. 프로필 방문,527,-527
profun-0112,cli-0001,promet-0028,2026-06-10 00:00:00,4,4. 웹사이트 클릭,41,-41
profun-0113,cli-0001,promet-0029,2026-06-11 00:00:00,1,1. 노출,20776,-20776
profun-0114,cli-0001,promet-0029,2026-06-11 00:00:00,2,2. 도달,9855,-9855
profun-0115,cli-0001,promet-0029,2026-06-11 00:00:00,3,3. 프로필 방문,142,-142
profun-0116,cli-0001,promet-0029,2026-06-11 00:00:00,4,4. 웹사이트 클릭,6,-6
profun-0117,cli-0001,promet-0030,2026-06-12 00:00:00,1,1. 노출,17162,-17162
profun-0118,cli-0001,promet-0030,2026-06-12 00:00:00,2,2. 도달,9791,-9791
profun-0119,cli-0001,promet-0030,2026-06-12 00:00:00,3,3. 프로필 방문,235,-235
profun-0120,cli-0001,promet-0030,2026-06-12 00:00:00,4,4. 웹사이트 클릭,9,-9
profun-0121,cli-0001,promet-0031,2026-06-13 00:00:00,1,1. 노출,9633,-9633
profun-0122,cli-0001,promet-0031,2026-06-13 00:00:00,2,2. 도달,4996,-4996
profun-0123,cli-0001,promet-0031,2026-06-13 00:00:00,3,3. 프로필 방문,89,-89
profun-0124,cli-0001,promet-0031,2026-06-13 00:00:00,4,4. 웹사이트 클릭,9,-9
profun-0125,cli-0001,promet-0032,2026-06-14 00:00:00,1,1. 노출,5266,-5266
profun-0126,cli-0001,promet-0032,2026-06-14 00:00:00,2,2. 도달,4082,-4082
profun-0127,cli-0001,promet-0032,2026-06-14 00:00:00,3,3. 프로필 방문,124,-124
profun-0128,cli-0001,promet-0032,2026-06-14 00:00:00,4,4. 웹사이트 클릭,8,-8
