campaign_influencer_id,influencer_id,campaign_id,applied_at,selected_at,participation_status,reward_amount
caminf-0033,Inf-0163,cam-0002,2026-05-22 0:48,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0034,Inf-0110,cam-0002,2026-05-21 17:52,2026-05-23 10:00,선정,0
caminf-0035,Inf-0102,cam-0002,2026-05-18 17:42,,지원,0
caminf-0036,Inf-0174,cam-0002,2026-05-22 0:04,2026-05-23 10:00,선정,0
caminf-0037,Inf-0140,cam-0002,2026-05-19 16:13,,지원,0
caminf-0038,Inf-0198,cam-0002,2026-05-21 17:42,,지원,0
caminf-0039,Inf-0013,cam-0002,2026-05-18 19:51,,지원,0
caminf-0040,Inf-0069,cam-0002,2026-05-19 4:43,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0041,Inf-0079,cam-0002,2026-05-20 8:44,,지원,0
caminf-0042,Inf-0059,cam-0002,2026-05-20 1:32,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0043,Inf-0010,cam-0002,2026-05-18 9:43,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0044,Inf-0166,cam-0002,2026-05-19 13:30,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0045,Inf-0091,cam-0002,2026-05-21 11:56,,지원,0
caminf-0046,Inf-0096,cam-0002,2026-05-21 19:20,2026-05-23 10:00,선정,0
caminf-0047,Inf-0132,cam-0002,2026-05-18 18:11,,지원,0
caminf-0048,Inf-0064,cam-0002,2026-05-18 16:39,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0049,Inf-0161,cam-0002,2026-05-16 20:17,,지원,0
caminf-0050,Inf-0028,cam-0002,2026-05-18 23:59,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0051,Inf-0060,cam-0002,2026-05-17 13:34,2026-05-23 10:00,선정,0
caminf-0052,Inf-0095,cam-0002,2026-05-21 8:17,,지원,0
caminf-0053,Inf-0144,cam-0003,2026-05-30 20:32,2026-06-05 10:00,선정,0
caminf-0054,Inf-0173,cam-0003,2026-05-31 11:47,2026-06-05 10:00,선정,0
caminf-0055,Inf-0189,cam-0003,2026-05-30 23:52,,지원,0
caminf-0056,Inf-0133,cam-0003,2026-06-03 23:32,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0057,Inf-0101,cam-0003,2026-06-01 21:47,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0058,Inf-0002,cam-0003,2026-05-31 7:37,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0059,Inf-0116,cam-0003,2026-05-29 13:53,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0060,Inf-0186,cam-0003,2026-05-30 3:10,,지원,0
caminf-0061,Inf-0067,cam-0003,2026-05-30 21:55,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0062,Inf-0176,cam-0003,2026-05-29 13:31,,지원,0
caminf-0063,Inf-0121,cam-0003,2026-06-01 21:33,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0064,Inf-0150,cam-0003,2026-05-30 23:23,,지원,0
caminf-0065,Inf-0110,cam-0003,2026-06-01 18:16,,지원,0
caminf-0066,Inf-0051,cam-0003,2026-06-02 4:44,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0067,Inf-0075,cam-0003,2026-05-30 15:01,2026-06-05 10:00,선정,0
caminf-0068,Inf-0164,cam-0003,2026-05-31 12:55,,지원,0
caminf-0069,Inf-0054,cam-0003,2026-06-01 17:06,,지원,0
caminf-0070,Inf-0191,cam-0003,2026-06-01 13:08,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0071,Inf-0180,cam-0003,2026-05-29 18:28,,지원,0
caminf-0072,Inf-0169,cam-0003,2026-06-03 21:03,,지원,0
caminf-0073,Inf-0126,cam-0003,2026-06-02 18:21,2026-06-05 10:00,선정,0
caminf-0074,Inf-0107,cam-0003,2026-06-02 1:20,,지원,0
caminf-0075,Inf-0071,cam-0003,2026-06-02 11:34,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0076,Inf-0146,cam-0003,2026-06-02 22:13,,지원,0
caminf-0077,Inf-0132,cam-0003,2026-06-01 20:36,,지원,0
caminf-0078,Inf-0137,cam-0003,2026-05-30 7:29,2026-06-05 10:00,콘텐츠 등록 완료,20000
caminf-0079,Inf-0081,cam-0003,2026-06-03 21:19,2026-06-05 10:00,선정,0
