recommendation_id,campaign_id,influencer_id,recommendation_rank,recommendation_level,funnel_stage,recommendation_score,performance_prediction_score,predicted_reach_rate,predicted_reach_count,predicted_engagement_rate,predicted_engagement_count,predicted_like_count,predicted_comment_count,is_final_recommended,is_performance_candidate,influencer_fit_score_id,recommended_date,scoring_rule_version
rec-0045,cam-0001,inf-0092,45,낮은 적합도,1차 후보,49.24,36.4,28.45,1910,6.76,454,300,154,0,0,inffit-0043,2026-06-01,v1.0
rec-0046,cam-0001,inf-0094,46,낮은 적합도,1차 후보,48.73,36.0,30.66,27556,0.76,683,462,221,0,0,inffit-0048,2026-06-01,v1.0
rec-0047,cam-0001,inf-0082,47,낮은 적합도,1차 후보,47.92,19.0,27.26,21795,0.13,104,58,46,0,0,inffit-0020,2026-06-01,v1.0
rec-0048,cam-0001,inf-0146,48,낮은 적합도,1차 후보,46.6,10.4,28.71,14835,0.03,16,12,4,0,0,inffit-0019,2026-06-01,v1.0
rec-0049,cam-0001,inf-0085,49,낮은 적합도,1차 후보,45.04,19.3,25.1,4515,1.29,232,129,103,0,0,inffit-0038,2026-06-01,v1.0
rec-0050,cam-0001,inf-0110,50,낮은 적합도,1차 후보,44.07,20.2,27.14,14903,0.62,340,178,162,0,0,inffit-0046,2026-06-01,v1.0
rec-0051,cam-0002,inf-0054,1,추천,최종 추천 후보,82.48,79.9,36.54,29437,2.08,1676,895,781,1,1,inffit-0051,2026-06-01,v1.0
rec-0052,cam-0002,inf-0156,2,추천,최종 추천 후보,78.7,74.0,33.82,9398,5.88,1634,851,783,1,1,inffit-0053,2026-06-01,v1.0
rec-0053,cam-0002,inf-0105,3,추천,최종 추천 후보,78.02,67.6,34.85,23484,2.14,1442,858,584,1,1,inffit-0052,2026-06-01,v1.0
rec-0054,cam-0002,inf-0196,4,추천,최종 추천 후보,77.54,74.1,35.98,32376,1.73,1557,1079,478,1,1,inffit-0054,2026-06-01,v1.0
rec-0055,cam-0002,inf-0035,5,추천,최종 추천 후보,76.76,77.0,36.03,9365,6.42,1669,1039,630,1,1,inffit-0056,2026-06-01,v1.0
rec-0056,cam-0002,inf-0069,6,검토 가능,최종 추천 후보,69.44,71.6,31.76,21549,2.24,1520,994,526,1,1,inffit-0062,2026-06-01,v1.0
rec-0057,cam-0002,inf-0191,7,검토 가능,최종 추천 후보,69.25,63.4,33.6,2879,16.12,1381,1050,331,1,0,inffit-0059,2026-06-01,v1.0
rec-0058,cam-0002,inf-0122,8,검토 가능,최종 추천 후보,67.95,78.0,33.62,9523,5.95,1685,984,701,1,1,inffit-0066,2026-06-01,v1.0
rec-0059,cam-0002,inf-0022,9,검토 가능,최종 추천 후보,67.53,46.2,36.23,30342,1.28,1072,796,276,1,0,inffit-0055,2026-06-01,v1.0
rec-0060,cam-0002,inf-0200,10,검토 가능,최종 추천 후보,67.4,56.8,32.37,1406,29.26,1270,973,297,1,0,inffit-0058,2026-06-01,v1.0
rec-0061,cam-0002,inf-0186,11,검토 가능,예상 성과 후보,66.51,80.8,31.74,981,58.6,1811,977,834,0,1,inffit-0076,2026-06-01,v1.0
rec-0062,cam-0002,inf-0169,12,검토 가능,예상 성과 후보,64.66,79.4,28.99,28035,1.77,1712,913,799,0,1,inffit-0078,2026-06-01,v1.0
rec-0063,cam-0002,inf-0030,13,검토 가능,예상 성과 후보,63.8,66.8,33.7,22384,2.17,1441,874,567,0,1,inffit-0072,2026-06-01,v1.0
rec-0064,cam-0002,inf-0190,14,검토 가능,1차 후보,63.15,61.8,28.54,3789,10.09,1340,1026,314,0,0,inffit-0064,2026-06-01,v1.0
rec-0065,cam-0002,inf-0058,15,검토 가능,1차 후보,62.76,60.6,32.55,18070,2.47,1371,859,512,0,0,inffit-0065,2026-06-01,v1.0
rec-0066,cam-0002,inf-0145,16,검토 가능,적합도 우수 후보,62.08,33.7,31.88,18779,1.33,783,698,85,0,0,inffit-0057,2026-06-01,v1.0
rec-0067,cam-0002,inf-0117,17,검토 가능,예상 성과 후보,61.63,74.8,30.83,20462,2.42,1606,962,644,0,1,inffit-0087,2026-06-01,v1.0
rec-0068,cam-0002,inf-0137,18,검토 가능,1차 후보,60.45,55.5,31.37,19280,2.08,1278,647,631,0,0,inffit-0071,2026-06-01,v1.0
rec-0069,cam-0002,inf-0199,19,검토 가능,적합도 우수 후보,59.72,33.6,34.68,31374,0.72,651,379,272,0,0,inffit-0060,2026-06-01,v1.0
rec-0070,cam-0002,inf-0153,20,검토 가능,예상 성과 후보,59.58,66.2,32.14,27789,1.7,1470,758,712,0,1,inffit-0083,2026-06-01,v1.0
rec-0071,cam-0002,inf-0050,21,검토 가능,예상 성과 후보,59.56,68.7,30.85,26872,1.73,1507,845,662,0,1,inffit-0092,2026-06-01,v1.0
rec-0072,cam-0002,inf-0194,22,검토 가능,1차 후보,59.27,62.4,29.04,15122,2.7,1406,855,551,0,0,inffit-0081,2026-06-01,v1.0
rec-0073,cam-0002,inf-0034,23,검토 가능,예상 성과 후보,59.09,71.6,28.44,23946,1.84,1549,947,602,0,1,inffit-0099,2026-06-01,v1.0
rec-0074,cam-0002,inf-0042,24,검토 가능,1차 후보,59.06,65.2,28.07,3071,13.03,1426,718,708,0,0,inffit-0084,2026-06-01,v1.0
rec-0075,cam-0002,inf-0074,25,검토 가능,예상 성과 후보,58.51,69.8,27.95,6233,6.64,1481,786,695,0,1,inffit-0100,2026-06-01,v1.0
rec-0076,cam-0002,inf-0176,26,검토 가능,1차 후보,58.23,43.8,28.89,19813,1.64,1125,654,471,0,0,inffit-0063,2026-06-01,v1.0
rec-0077,cam-0002,inf-0051,27,검토 가능,1차 후보,57.07,60.0,29.98,1123,35.58,1333,931,402,0,0,inffit-0090,2026-06-01,v1.0
rec-0078,cam-0002,inf-0100,28,검토 가능,1차 후보,56.96,41.8,30.72,463,43.52,655,434,221,0,0,inffit-0067,2026-06-01,v1.0
rec-0079,cam-0002,inf-0121,29,검토 가능,1차 후보,56.92,43.0,31.45,4018,6.2,792,479,313,0,0,inffit-0069,2026-06-01,v1.0
rec-0080,cam-0002,inf-0012,30,검토 가능,1차 후보,56.87,54.2,25.53,5042,6.22,1228,671,557,0,0,inffit-0080,2026-06-01,v1.0
rec-0081,cam-0002,inf-0036,31,검토 가능,1차 후보,55.44,59.0,29.07,4433,8.36,1275,875,400,0,0,inffit-0097,2026-06-01,v1.0
rec-0082,cam-0002,inf-0159,32,검토 가능,1차 후보,55.21,48.2,29.74,3740,7.64,961,523,438,0,0,inffit-0079,2026-06-01,v1.0
rec-0083,cam-0002,inf-0107,33,낮은 적합도,1차 후보,54.68,43.4,30.05,7281,3.35,812,755,57,0,0,inffit-0077,2026-06-01,v1.0
rec-0084,cam-0002,inf-0092,34,낮은 적합도,1차 후보,54.48,34.6,32.76,2199,6.89,463,306,157,0,0,inffit-0068,2026-06-01,v1.0
rec-0085,cam-0002,inf-0112,35,낮은 적합도,1차 후보,53.4,47.8,29.14,26239,1.31,1180,842,338,0,0,inffit-0091,2026-06-01,v1.0
rec-0086,cam-0002,inf-0154,36,낮은 적합도,1차 후보,53.35,50.4,28.0,23815,1.47,1250,919,331,0,0,inffit-0094,2026-06-01,v1.0
rec-0087,cam-0002,inf-0020,37,낮은 적합도,1차 후보,51.72,45.6,27.8,21896,1.44,1134,679,455,0,0,inffit-0095,2026-06-01,v1.0
rec-0088,cam-0002,inf-0178,38,낮은 적합도,1차 후보,51.52,8.6,31.52,2387,0.92,70,36,34,0,0,inffit-0061,2026-06-01,v1.0
rec-0089,cam-0002,inf-0135,39,낮은 적합도,1차 후보,51.49,40.4,27.44,16663,1.66,1008,642,366,0,0,inffit-0085,2026-06-01,v1.0
rec-0090,cam-0002,inf-0134,40,낮은 적합도,1차 후보,51.33,40.5,29.65,4515,5.14,783,595,188,0,0,inffit-0088,2026-06-01,v1.0
rec-0091,cam-0002,inf-0091,41,낮은 적합도,1차 후보,51.24,37.0,30.05,20180,1.25,839,523,316,0,0,inffit-0082,2026-06-01,v1.0
rec-0092,cam-0002,inf-0077,42,낮은 적합도,1차 후보,50.36,22.6,30.49,24906,0.15,123,106,17,0,0,inffit-0073,2026-06-01,v1.0
rec-0093,cam-0002,inf-0132,43,낮은 적합도,1차 후보,49.65,19.0,29.41,18501,0.21,132,101,31,0,0,inffit-0070,2026-06-01,v1.0
rec-0094,cam-0002,inf-0125,44,낮은 적합도,1차 후보,48.38,35.8,28.96,4837,3.59,600,401,199,0,0,inffit-0098,2026-06-01,v1.0
rec-0095,cam-0002,inf-0033,45,낮은 적합도,1차 후보,48.27,18.8,33.35,10912,0.86,281,154,127,0,0,inffit-0074,2026-06-01,v1.0
rec-0096,cam-0002,inf-0017,46,낮은 적합도,1차 후보,48.23,34.4,25.61,9606,1.79,671,359,312,0,0,inffit-0096,2026-06-01,v1.0
rec-0097,cam-0002,inf-0118,47,낮은 적합도,1차 후보,48.11,29.2,28.05,3355,2.74,328,165,163,0,0,inffit-0086,2026-06-01,v1.0
rec-0098,cam-0002,inf-0082,48,낮은 적합도,1차 후보,47.77,17.4,24.96,19956,0.13,104,58,46,0,0,inffit-0075,2026-06-01,v1.0
rec-0099,cam-0002,inf-0168,49,낮은 적합도,1차 후보,46.11,23.4,27.9,12525,1.2,539,433,106,0,0,inffit-0089,2026-06-01,v1.0
rec-0100,cam-0002,inf-0146,50,낮은 적합도,1차 후보,41.91,11.6,27.32,14117,0.03,16,12,4,0,0,inffit-0093,2026-06-01,v1.0
rec-0101,cam-0003,inf-0035,1,강력 추천,최종 추천 후보,87.38,79.6,36.84,9576,7.08,1840,1145,695,1,1,inffit-0102,2026-06-01,v1.0
rec-0102,cam-0003,inf-0054,2,강력 추천,최종 추천 후보,86.69,71.2,35.5,28599,2.07,1668,891,777,1,1,inffit-0101,2026-06-01,v1.0
rec-0103,cam-0003,inf-0156,3,추천,최종 추천 후보,79.45,70.2,34.25,9517,5.93,1648,858,790,1,1,inffit-0104,2026-06-01,v1.0
rec-0104,cam-0003,inf-0200,4,추천,최종 추천 후보,77.9,59.8,35.73,1551,31.99,1389,1065,324,1,0,inffit-0103,2026-06-01,v1.0
rec-0105,cam-0003,inf-0191,5,추천,최종 추천 후보,76.8,62.2,36.57,3133,16.34,1400,1064,336,1,0,inffit-0106,2026-06-01,v1.0
rec-0106,cam-0003,inf-0196,6,추천,최종 추천 후보,76.04,65.4,35.5,31944,1.66,1494,1035,459,1,1,inffit-0108,2026-06-01,v1.0
rec-0107,cam-0003,inf-0105,7,추천,최종 추천 후보,74.5,54.2,35.48,23909,2.03,1368,814,554,1,0,inffit-0105,2026-06-01,v1.0
rec-0108,cam-0003,inf-0186,8,추천,최종 추천 후보,72.01,79.8,34.97,1081,60.53,1871,1009,862,1,1,inffit-0123,2026-06-01,v1.0
rec-0109,cam-0003,inf-0024,9,추천,최종 추천 후보,71.61,79.8,29.22,25613,2.35,2060,1039,1021,1,1,inffit-0124,2026-06-01,v1.0
rec-0110,cam-0003,inf-0169,10,추천,최종 추천 후보,70.16,76.0,33.09,32000,1.84,1779,949,830,1,1,inffit-0125,2026-06-01,v1.0
rec-0111,cam-0003,inf-0022,11,검토 가능,적합도 우수 후보,69.13,42.8,35.62,29831,1.36,1139,846,293,0,0,inffit-0109,2026-06-01,v1.0
rec-0112,cam-0003,inf-0069,12,검토 가능,적합도 우수 후보,69.08,62.2,32.62,22132,2.18,1479,968,511,0,0,inffit-0115,2026-06-01,v1.0
rec-0113,cam-0003,inf-0122,13,검토 가능,예상 성과 후보,68.21,74.4,29.27,8291,6.13,1736,1014,722,0,1,inffit-0133,2026-06-01,v1.0
rec-0114,cam-0003,inf-0117,14,검토 가능,예상 성과 후보,66.8,72.8,28.6,18982,2.61,1732,1038,694,0,1,inffit-0140,2026-06-01,v1.0
rec-0115,cam-0003,inf-0145,15,검토 가능,적합도 우수 후보,66.78,33.8,39.0,22973,1.39,819,730,89,0,0,inffit-0107,2026-06-01,v1.0
rec-0116,cam-0003,inf-0058,16,검토 가능,1차 후보,66.22,58.6,34.66,19242,2.51,1393,872,521,0,0,inffit-0119,2026-06-01,v1.0
rec-0117,cam-0003,inf-0190,17,검토 가능,1차 후보,65.92,57.0,30.1,3996,9.73,1292,989,303,0,0,inffit-0118,2026-06-01,v1.0
rec-0118,cam-0003,inf-0194,18,검토 가능,예상 성과 후보,65.84,64.4,28.51,14846,2.85,1484,902,582,0,1,inffit-0131,2026-06-01,v1.0
rec-0119,cam-0003,inf-0153,19,검토 가능,예상 성과 후보,65.69,64.6,31.68,27391,1.79,1548,798,750,0,1,inffit-0132,2026-06-01,v1.0
rec-0120,cam-0003,inf-0031,20,검토 가능,예상 성과 후보,65.01,70.8,27.42,19590,2.36,1686,961,725,0,1,inffit-0143,2026-06-01,v1.0
rec-0121,cam-0003,inf-0030,21,검토 가능,예상 성과 후보,64.9,66.0,30.46,20232,2.34,1554,942,612,0,1,inffit-0138,2026-06-01,v1.0
rec-0122,cam-0003,inf-0074,22,검토 가능,예상 성과 후보,64.83,64.4,32.2,7181,6.62,1476,784,692,0,1,inffit-0134,2026-06-01,v1.0
rec-0123,cam-0003,inf-0036,23,검토 가능,1차 후보,64.68,64.2,29.38,4480,9.38,1430,981,449,0,0,inffit-0135,2026-06-01,v1.0
rec-0124,cam-0003,inf-0142,24,검토 가능,예상 성과 후보,63.52,69.2,31.32,20501,2.4,1571,842,729,0,1,inffit-0149,2026-06-01,v1.0
rec-0125,cam-0003,inf-0137,25,검토 가능,1차 후보,62.92,48.4,33.87,20816,2.08,1278,647,631,0,0,inffit-0121,2026-06-01,v1.0
rec-0126,cam-0003,inf-0042,26,검토 가능,1차 후보,62.45,64.0,32.01,3502,13.29,1454,732,722,0,0,inffit-0146,2026-06-01,v1.0
rec-0127,cam-0003,inf-0051,27,검토 가능,1차 후보,61.78,57.0,31.41,1177,35.58,1333,931,402,0,0,inffit-0141,2026-06-01,v1.0
rec-0128,cam-0003,inf-0107,28,검토 가능,적합도 우수 후보,61.66,40.2,32.65,7910,3.65,884,822,62,0,0,inffit-0117,2026-06-01,v1.0
rec-0129,cam-0003,inf-0199,29,검토 가능,적합도 우수 후보,61.51,28.8,30.04,27176,0.64,579,337,242,0,0,inffit-0111,2026-06-01,v1.0
rec-0130,cam-0003,inf-0100,30,검토 가능,1차 후보,60.03,39.8,30.36,457,43.57,656,434,222,0,0,inffit-0122,2026-06-01,v1.0
rec-0131,cam-0003,inf-0112,31,검토 가능,1차 후보,59.99,44.6,30.64,27589,1.38,1243,887,356,0,0,inffit-0130,2026-06-01,v1.0
rec-0132,cam-0003,inf-0061,32,검토 가능,1차 후보,59.95,55.6,30.97,13683,3.03,1339,873,466,0,0,inffit-0145,2026-06-01,v1.0
rec-0133,cam-0003,inf-0012,33,검토 가능,1차 후보,59.94,49.8,32.7,6458,6.3,1244,680,564,0,0,inffit-0139,2026-06-01,v1.0
rec-0134,cam-0003,inf-0195,34,검토 가능,1차 후보,59.4,54.6,27.72,1977,18.0,1284,995,289,0,0,inffit-0148,2026-06-01,v1.0
rec-0135,cam-0003,inf-0165,35,검토 가능,1차 후보,59.39,46.8,34.29,18806,2.29,1256,810,446,0,0,inffit-0136,2026-06-01,v1.0
rec-0136,cam-0003,inf-0121,36,검토 가능,1차 후보,59.09,39.4,29.9,3820,6.44,823,498,325,0,0,inffit-0127,2026-06-01,v1.0
rec-0137,cam-0003,inf-0159,37,검토 가능,1차 후보,59.0,46.0,29.58,3720,7.96,1001,545,456,0,0,inffit-0137,2026-06-01,v1.0
rec-0138,cam-0003,inf-0118,38,검토 가능,적합도 우수 후보,58.9,29.4,33.49,4006,2.75,329,165,164,0,0,inffit-0116,2026-06-01,v1.0
rec-0139,cam-0003,inf-0176,39,검토 가능,1차 후보,58.72,39.6,31.93,21898,1.62,1111,646,465,0,0,inffit-0129,2026-06-01,v1.0
rec-0140,cam-0003,inf-0077,40,검토 가능,적합도 우수 후보,58.21,25.0,38.04,31074,0.15,123,106,17,0,0,inffit-0114,2026-06-01,v1.0
rec-0141,cam-0003,inf-0132,41,검토 가능,적합도 우수 후보,58.03,21.4,33.55,21105,0.2,126,96,30,0,0,inffit-0113,2026-06-01,v1.0
rec-0142,cam-0003,inf-0033,42,검토 가능,적합도 우수 후보,57.95,19.4,33.56,10980,0.94,308,168,140,0,0,inffit-0112,2026-06-01,v1.0
rec-0143,cam-0003,inf-0092,43,검토 가능,1차 후보,57.65,34.4,36.29,2436,7.15,480,317,163,0,0,inffit-0126,2026-06-01,v1.0
rec-0144,cam-0003,inf-0178,44,검토 가능,적합도 우수 후보,57.48,9.6,34.35,2601,0.95,72,37,35,0,0,inffit-0110,2026-06-01,v1.0
rec-0145,cam-0003,inf-0005,45,검토 가능,1차 후보,56.46,42.8,30.95,17144,2.22,1230,664,566,0,0,inffit-0144,2026-06-01,v1.0
rec-0146,cam-0003,inf-0078,46,검토 가능,1차 후보,56.2,43.4,27.95,3563,7.11,906,809,97,0,0,inffit-0147,2026-06-01,v1.0
rec-0147,cam-0003,inf-0134,47,검토 가능,1차 후보,55.04,36.6,33.35,5078,5.17,787,598,189,0,0,inffit-0142,2026-06-01,v1.0
rec-0148,cam-0003,inf-0082,48,낮은 적합도,1차 후보,54.69,20.6,33.83,27048,0.14,112,63,49,0,0,inffit-0120,2026-06-01,v1.0
rec-0149,cam-0003,inf-0109,49,낮은 적합도,1차 후보,53.93,37.4,30.85,30565,0.9,892,614,278,0,0,inffit-0150,2026-06-01,v1.0
rec-0150,cam-0003,inf-0146,50,낮은 적합도,1차 후보,50.68,12.0,30.68,15853,0.03,16,12,4,0,0,inffit-0128,2026-06-01,v1.0
