influencer_follower_demo_id,influencer_id,collected_date,influencer_follower_gender,influencer_follower_age_group,engagement_type,engaged_follower_count,engaged_follower_ratio
inffol-0095,inf-0005,2026-06-01,남성,50대,comment,4,0.35
inffol-0096,inf-0005,2026-06-01,남성,60대+,comment,7,0.61
inffol-0097,inf-0005,2026-06-01,여성,20대,comment,51,4.44
inffol-0098,inf-0005,2026-06-01,여성,30대,comment,6,0.52
inffol-0099,inf-0005,2026-06-01,여성,40대,comment,5,0.44
inffol-0100,inf-0005,2026-06-01,여성,60대+,comment,3,0.26
inffol-0101,inf-0006,2026-06-01,남성,10대,like,61,7.9
inffol-0102,inf-0006,2026-06-01,남성,20대,like,114,14.77
inffol-0103,inf-0006,2026-06-01,남성,30대,like,126,16.32
inffol-0104,inf-0006,2026-06-01,남성,40대,like,12,1.55
inffol-0105,inf-0006,2026-06-01,남성,50대,like,46,5.96
inffol-0106,inf-0006,2026-06-01,여성,10대,like,48,6.22
inffol-0107,inf-0006,2026-06-01,여성,20대,like,109,14.12
inffol-0108,inf-0006,2026-06-01,여성,30대,like,77,9.97
inffol-0109,inf-0006,2026-06-01,여성,40대,like,11,1.42
inffol-0110,inf-0006,2026-06-01,여성,50대,like,49,6.35
inffol-0111,inf-0006,2026-06-01,남성,10대,comment,9,1.17
inffol-0112,inf-0006,2026-06-01,남성,20대,comment,17,2.2
inffol-0113,inf-0006,2026-06-01,남성,30대,comment,27,3.5
inffol-0114,inf-0006,2026-06-01,남성,40대,comment,1,0.13
inffol-0115,inf-0006,2026-06-01,남성,50대,comment,9,1.17
inffol-0116,inf-0006,2026-06-01,여성,10대,comment,10,1.3
inffol-0117,inf-0006,2026-06-01,여성,20대,comment,19,2.46
inffol-0118,inf-0006,2026-06-01,여성,30대,comment,14,1.81
inffol-0119,inf-0006,2026-06-01,여성,40대,comment,1,0.13
inffol-0120,inf-0006,2026-06-01,여성,50대,comment,12,1.55
inffol-0121,inf-0007,2026-06-01,남성,10대,like,2,0.62
inffol-0122,inf-0007,2026-06-01,남성,20대,like,105,32.71
inffol-0123,inf-0007,2026-06-01,남성,30대,like,70,21.81
inffol-0124,inf-0007,2026-06-01,남성,40대,like,10,3.12
inffol-0125,inf-0007,2026-06-01,남성,50대,like,24,7.48
inffol-0126,inf-0007,2026-06-01,남성,60대+,like,3,0.93
inffol-0127,inf-0007,2026-06-01,여성,20대,like,18,5.61
inffol-0128,inf-0007,2026-06-01,여성,30대,like,8,2.49
inffol-0129,inf-0007,2026-06-01,여성,40대,like,1,0.31
inffol-0130,inf-0007,2026-06-01,여성,50대,like,2,0.62
inffol-0131,inf-0007,2026-06-01,남성,20대,comment,37,11.53
inffol-0132,inf-0007,2026-06-01,남성,30대,comment,22,6.85
inffol-0133,inf-0007,2026-06-01,남성,40대,comment,2,0.62
inffol-0134,inf-0007,2026-06-01,남성,50대,comment,6,1.87
inffol-0135,inf-0007,2026-06-01,여성,20대,comment,4,1.25
inffol-0136,inf-0007,2026-06-01,여성,30대,comment,4,1.25
inffol-0137,inf-0007,2026-06-01,여성,40대,comment,2,0.62
inffol-0138,inf-0007,2026-06-01,여성,50대,comment,1,0.31
inffol-0139,inf-0008,2026-06-01,남성,10대,like,28,8.75
inffol-0140,inf-0008,2026-06-01,남성,20대,like,28,8.75
inffol-0141,inf-0008,2026-06-01,남성,30대,like,34,10.62
inffol-0142,inf-0008,2026-06-01,남성,40대,like,10,3.12
inffol-0143,inf-0008,2026-06-01,남성,50대,like,1,0.31
inffol-0144,inf-0008,2026-06-01,남성,60대+,like,1,0.31
inffol-0145,inf-0008,2026-06-01,여성,10대,like,20,6.25
inffol-0146,inf-0008,2026-06-01,여성,20대,like,16,5.0
inffol-0147,inf-0008,2026-06-01,여성,30대,like,22,6.88
inffol-0148,inf-0008,2026-06-01,여성,40대,like,2,0.62
inffol-0149,inf-0008,2026-06-01,여성,50대,like,1,0.31
inffol-0150,inf-0008,2026-06-01,여성,60대+,like,2,0.62
inffol-0151,inf-0008,2026-06-01,남성,10대,comment,23,7.19
inffol-0152,inf-0008,2026-06-01,남성,20대,comment,26,8.12
inffol-0153,inf-0008,2026-06-01,남성,30대,comment,34,10.62
inffol-0154,inf-0008,2026-06-01,남성,40대,comment,7,2.19
inffol-0155,inf-0008,2026-06-01,남성,60대+,comment,3,0.94
inffol-0156,inf-0008,2026-06-01,여성,10대,comment,15,4.69
inffol-0157,inf-0008,2026-06-01,여성,20대,comment,10,3.12
inffol-0158,inf-0008,2026-06-01,여성,30대,comment,32,10.0
inffol-0159,inf-0008,2026-06-01,여성,40대,comment,2,0.62
inffol-0160,inf-0008,2026-06-01,여성,50대,comment,1,0.31
inffol-0161,inf-0008,2026-06-01,여성,60대+,comment,2,0.62
inffol-0162,inf-0009,2026-06-01,남성,10대,like,21,2.06
inffol-0163,inf-0009,2026-06-01,남성,20대,like,106,10.4
inffol-0164,inf-0009,2026-06-01,남성,30대,like,102,10.01
inffol-0165,inf-0009,2026-06-01,남성,40대,like,52,5.1
inffol-0166,inf-0009,2026-06-01,남성,50대,like,1,0.1
inffol-0167,inf-0009,2026-06-01,남성,60대+,like,3,0.29
inffol-0168,inf-0009,2026-06-01,여성,10대,like,29,2.85
inffol-0169,inf-0009,2026-06-01,여성,20대,like,199,19.53
inffol-0170,inf-0009,2026-06-01,여성,30대,like,217,21.3
inffol-0171,inf-0009,2026-06-01,여성,40대,like,88,8.64
inffol-0172,inf-0009,2026-06-01,여성,50대,like,2,0.2
inffol-0173,inf-0009,2026-06-01,여성,60대+,like,16,1.57
inffol-0174,inf-0009,2026-06-01,남성,10대,comment,3,0.29
inffol-0175,inf-0009,2026-06-01,남성,20대,comment,31,3.04
inffol-0176,inf-0009,2026-06-01,남성,30대,comment,26,2.55
inffol-0177,inf-0009,2026-06-01,남성,40대,comment,11,1.08
inffol-0178,inf-0009,2026-06-01,여성,10대,comment,6,0.59
inffol-0179,inf-0009,2026-06-01,여성,20대,comment,48,4.71
inffol-0180,inf-0009,2026-06-01,여성,30대,comment,37,3.63
inffol-0181,inf-0009,2026-06-01,여성,40대,comment,19,1.86
inffol-0182,inf-0009,2026-06-01,여성,60대+,comment,2,0.2
inffol-0183,inf-0010,2026-06-01,남성,10대,like,1,1.06
inffol-0184,inf-0010,2026-06-01,남성,20대,like,9,9.57
inffol-0185,inf-0010,2026-06-01,남성,30대,like,14,14.89
inffol-0186,inf-0010,2026-06-01,남성,40대,like,9,9.57
inffol-0187,inf-0010,2026-06-01,여성,20대,like,14,14.89
inffol-0188,inf-0010,2026-06-01,여성,30대,like,13,13.83
inffol-0189,inf-0010,2026-06-01,여성,40대,like,22,23.4
inffol-0190,inf-0010,2026-06-01,여성,60대+,like,4,4.26
inffol-0191,inf-0010,2026-06-01,남성,20대,comment,2,2.13
inffol-0192,inf-0010,2026-06-01,여성,20대,comment,2,2.13
inffol-0193,inf-0010,2026-06-01,여성,30대,comment,1,1.06
inffol-0194,inf-0010,2026-06-01,여성,40대,comment,3,3.19
inffol-0195,inf-0011,2026-06-01,남성,10대,like,5,0.94
inffol-0196,inf-0011,2026-06-01,남성,20대,like,49,9.21
inffol-0197,inf-0011,2026-06-01,남성,30대,like,28,5.26
inffol-0198,inf-0011,2026-06-01,남성,50대,like,9,1.69
inffol-0199,inf-0011,2026-06-01,남성,60대+,like,18,3.38
inffol-0200,inf-0011,2026-06-01,여성,10대,like,11,2.07
inffol-0201,inf-0011,2026-06-01,여성,20대,like,114,21.43
inffol-0202,inf-0011,2026-06-01,여성,30대,like,70,13.16
inffol-0203,inf-0011,2026-06-01,여성,40대,like,1,0.19
inffol-0204,inf-0011,2026-06-01,여성,50대,like,11,2.07
inffol-0205,inf-0011,2026-06-01,여성,60대+,like,23,4.32
inffol-0206,inf-0011,2026-06-01,남성,10대,comment,5,0.94
inffol-0207,inf-0011,2026-06-01,남성,20대,comment,35,6.58
inffol-0208,inf-0011,2026-06-01,남성,30대,comment,10,1.88
inffol-0209,inf-0011,2026-06-01,남성,50대,comment,3,0.56
inffol-0210,inf-0011,2026-06-01,남성,60대+,comment,5,0.94
inffol-0211,inf-0011,2026-06-01,여성,10대,comment,5,0.94
inffol-0212,inf-0011,2026-06-01,여성,20대,comment,71,13.35
inffol-0213,inf-0011,2026-06-01,여성,30대,comment,38,7.14
inffol-0214,inf-0011,2026-06-01,여성,50대,comment,4,0.75
inffol-0215,inf-0011,2026-06-01,여성,60대+,comment,17,3.2
inffol-0216,inf-0012,2026-06-01,남성,10대,like,30,2.57
inffol-0217,inf-0012,2026-06-01,남성,20대,like,58,4.97
inffol-0218,inf-0012,2026-06-01,남성,30대,like,70,6.0
inffol-0219,inf-0012,2026-06-01,남성,40대,like,89,7.63
inffol-0220,inf-0012,2026-06-01,남성,50대,like,19,1.63
inffol-0221,inf-0012,2026-06-01,여성,10대,like,37,3.17
inffol-0222,inf-0012,2026-06-01,여성,20대,like,79,6.77
inffol-0223,inf-0012,2026-06-01,여성,30대,like,110,9.43
inffol-0224,inf-0012,2026-06-01,여성,40대,like,135,11.57
inffol-0225,inf-0012,2026-06-01,여성,50대,like,11,0.94
inffol-0226,inf-0012,2026-06-01,남성,10대,comment,31,2.66
inffol-0227,inf-0012,2026-06-01,남성,20대,comment,42,3.6
inffol-0228,inf-0012,2026-06-01,남성,30대,comment,77,6.6
inffol-0229,inf-0012,2026-06-01,남성,40대,comment,73,6.26
inffol-0230,inf-0012,2026-06-01,남성,50대,comment,14,1.2
inffol-0231,inf-0012,2026-06-01,여성,10대,comment,36,3.08
inffol-0232,inf-0012,2026-06-01,여성,20대,comment,61,5.23
inffol-0233,inf-0012,2026-06-01,여성,30대,comment,79,6.77
inffol-0234,inf-0012,2026-06-01,여성,40대,comment,97,8.31
inffol-0235,inf-0012,2026-06-01,여성,50대,comment,19,1.63
inffol-0236,inf-0013,2026-06-01,남성,20대,like,12,21.82
inffol-0237,inf-0013,2026-06-01,남성,30대,like,5,9.09
inffol-0238,inf-0013,2026-06-01,남성,40대,like,2,3.64
inffol-0239,inf-0013,2026-06-01,남성,50대,like,5,9.09
inffol-0240,inf-0013,2026-06-01,남성,60대+,like,1,1.82
inffol-0241,inf-0013,2026-06-01,여성,10대,like,3,5.45
inffol-0242,inf-0013,2026-06-01,여성,20대,like,9,16.36
inffol-0243,inf-0013,2026-06-01,여성,30대,like,6,10.91
inffol-0244,inf-0013,2026-06-01,여성,40대,like,4,7.27
inffol-0245,inf-0013,2026-06-01,여성,50대,like,3,5.45
inffol-0246,inf-0013,2026-06-01,남성,20대,comment,2,3.64
inffol-0247,inf-0013,2026-06-01,남성,30대,comment,1,1.82
inffol-0248,inf-0013,2026-06-01,여성,20대,comment,2,3.64
inffol-0249,inf-0014,2026-06-01,남성,10대,like,1,1.27
inffol-0250,inf-0014,2026-06-01,남성,20대,like,7,8.86
inffol-0251,inf-0014,2026-06-01,남성,30대,like,9,11.39
inffol-0252,inf-0014,2026-06-01,남성,40대,like,15,18.99
inffol-0253,inf-0014,2026-06-01,남성,50대,like,2,2.53
inffol-0254,inf-0014,2026-06-01,여성,10대,like,1,1.27
inffol-0255,inf-0014,2026-06-01,여성,20대,like,13,16.46
inffol-0256,inf-0014,2026-06-01,여성,30대,like,10,12.66
inffol-0257,inf-0014,2026-06-01,여성,40대,like,4,5.06
inffol-0258,inf-0014,2026-06-01,여성,50대,like,10,12.66
inffol-0259,inf-0014,2026-06-01,남성,30대,comment,3,3.8
inffol-0260,inf-0014,2026-06-01,남성,50대,comment,1,1.27
inffol-0261,inf-0014,2026-06-01,여성,20대,comment,2,2.53
inffol-0262,inf-0014,2026-06-01,여성,30대,comment,1,1.27
inffol-0263,inf-0015,2026-06-01,남성,10대,like,1,1.37
inffol-0264,inf-0015,2026-06-01,남성,30대,like,5,6.85
inffol-0265,inf-0015,2026-06-01,남성,40대,like,1,1.37
inffol-0266,inf-0015,2026-06-01,남성,50대,like,1,1.37
inffol-0267,inf-0015,2026-06-01,여성,10대,like,2,2.74
inffol-0268,inf-0015,2026-06-01,여성,20대,like,10,13.7
inffol-0269,inf-0015,2026-06-01,여성,30대,like,10,13.7
inffol-0270,inf-0015,2026-06-01,여성,40대,like,6,8.22
inffol-0271,inf-0015,2026-06-01,여성,50대,like,2,2.74
inffol-0272,inf-0015,2026-06-01,남성,20대,comment,2,2.74
inffol-0273,inf-0015,2026-06-01,남성,30대,comment,3,4.11
inffol-0274,inf-0015,2026-06-01,남성,40대,comment,2,2.74
inffol-0275,inf-0015,2026-06-01,남성,50대,comment,1,1.37
inffol-0276,inf-0015,2026-06-01,여성,10대,comment,5,6.85
inffol-0277,inf-0015,2026-06-01,여성,20대,comment,8,10.96
inffol-0278,inf-0015,2026-06-01,여성,30대,comment,7,9.59
inffol-0279,inf-0015,2026-06-01,여성,40대,comment,6,8.22
inffol-0280,inf-0015,2026-06-01,여성,50대,comment,1,1.37
inffol-0281,inf-0016,2026-06-01,남성,10대,like,1,0.42
inffol-0282,inf-0016,2026-06-01,남성,20대,like,37,15.42
inffol-0283,inf-0016,2026-06-01,남성,30대,like,25,10.42
inffol-0284,inf-0016,2026-06-01,남성,40대,like,9,3.75
inffol-0285,inf-0016,2026-06-01,남성,50대,like,9,3.75
inffol-0286,inf-0016,2026-06-01,여성,10대,like,1,0.42
inffol-0287,inf-0016,2026-06-01,여성,20대,like,31,12.92
inffol-0288,inf-0016,2026-06-01,여성,30대,like,18,7.5
inffol-0289,inf-0016,2026-06-01,여성,40대,like,3,1.25
inffol-0290,inf-0016,2026-06-01,여성,50대,like,7,2.92
inffol-0291,inf-0016,2026-06-01,남성,10대,comment,1,0.42
inffol-0292,inf-0016,2026-06-01,남성,20대,comment,23,9.58
inffol-0293,inf-0016,2026-06-01,남성,30대,comment,19,7.92
inffol-0294,inf-0016,2026-06-01,남성,40대,comment,3,1.25
inffol-0295,inf-0016,2026-06-01,남성,50대,comment,5,2.08
inffol-0296,inf-0016,2026-06-01,여성,20대,comment,22,9.17
inffol-0297,inf-0016,2026-06-01,여성,30대,comment,12,5.0
inffol-0298,inf-0016,2026-06-01,여성,40대,comment,7,2.92
inffol-0299,inf-0016,2026-06-01,여성,50대,comment,7,2.92
inffol-0300,inf-0017,2026-06-01,남성,10대,like,2,0.3
inffol-0301,inf-0017,2026-06-01,남성,20대,like,37,5.56
inffol-0302,inf-0017,2026-06-01,남성,30대,like,33,4.95
inffol-0303,inf-0017,2026-06-01,남성,40대,like,3,0.45
inffol-0304,inf-0017,2026-06-01,남성,50대,like,4,0.6
inffol-0305,inf-0017,2026-06-01,여성,10대,like,19,2.85
inffol-0306,inf-0017,2026-06-01,여성,20대,like,121,18.17
inffol-0307,inf-0017,2026-06-01,여성,30대,like,115,17.27
inffol-0308,inf-0017,2026-06-01,여성,40대,like,11,1.65
inffol-0309,inf-0017,2026-06-01,여성,50대,like,11,1.65
inffol-0310,inf-0017,2026-06-01,남성,10대,comment,3,0.45
inffol-0311,inf-0017,2026-06-01,남성,20대,comment,36,5.41
inffol-0312,inf-0017,2026-06-01,남성,30대,comment,31,4.65
inffol-0313,inf-0017,2026-06-01,남성,40대,comment,2,0.3
inffol-0314,inf-0017,2026-06-01,남성,50대,comment,2,0.3
inffol-0315,inf-0017,2026-06-01,여성,10대,comment,19,2.85
inffol-0316,inf-0017,2026-06-01,여성,20대,comment,106,15.92
inffol-0317,inf-0017,2026-06-01,여성,30대,comment,96,14.41
inffol-0318,inf-0017,2026-06-01,여성,40대,comment,7,1.05
inffol-0319,inf-0017,2026-06-01,여성,50대,comment,8,1.2
inffol-0320,inf-0018,2026-06-01,남성,20대,like,55,13.29
inffol-0321,inf-0018,2026-06-01,남성,30대,like,65,15.7
inffol-0322,inf-0018,2026-06-01,남성,40대,like,1,0.24
inffol-0323,inf-0018,2026-06-01,남성,50대,like,5,1.21
inffol-0324,inf-0018,2026-06-01,여성,10대,like,1,0.24
inffol-0325,inf-0018,2026-06-01,여성,20대,like,125,30.19
inffol-0326,inf-0018,2026-06-01,여성,30대,like,133,32.13
inffol-0327,inf-0018,2026-06-01,여성,40대,like,13,3.14
inffol-0328,inf-0018,2026-06-01,여성,50대,like,14,3.38
inffol-0329,inf-0018,2026-06-01,여성,60대+,like,1,0.24
inffol-0330,inf-0018,2026-06-01,여성,30대,comment,1,0.24
inffol-0331,inf-0019,2026-06-01,남성,10대,like,19,4.94
inffol-0332,inf-0019,2026-06-01,남성,20대,like,91,23.64
inffol-0333,inf-0019,2026-06-01,남성,30대,like,66,17.14
inffol-0334,inf-0019,2026-06-01,남성,40대,like,41,10.65
inffol-0335,inf-0019,2026-06-01,남성,50대,like,19,4.94
inffol-0336,inf-0019,2026-06-01,남성,60대+,like,16,4.16
inffol-0337,inf-0019,2026-06-01,여성,10대,like,3,0.78
inffol-0338,inf-0019,2026-06-01,여성,20대,like,14,3.64
inffol-0339,inf-0019,2026-06-01,여성,30대,like,9,2.34
inffol-0340,inf-0019,2026-06-01,여성,40대,like,9,2.34
inffol-0341,inf-0019,2026-06-01,여성,50대,like,1,0.26
inffol-0342,inf-0019,2026-06-01,여성,60대+,like,1,0.26
inffol-0343,inf-0019,2026-06-01,남성,10대,comment,6,1.56
inffol-0344,inf-0019,2026-06-01,남성,20대,comment,23,5.97
inffol-0345,inf-0019,2026-06-01,남성,30대,comment,23,5.97
inffol-0346,inf-0019,2026-06-01,남성,40대,comment,12,3.12
inffol-0347,inf-0019,2026-06-01,남성,50대,comment,7,1.82
inffol-0348,inf-0019,2026-06-01,남성,60대+,comment,13,3.38
inffol-0349,inf-0019,2026-06-01,여성,10대,comment,1,0.26
inffol-0350,inf-0019,2026-06-01,여성,20대,comment,6,1.56
inffol-0351,inf-0019,2026-06-01,여성,30대,comment,2,0.52
inffol-0352,inf-0019,2026-06-01,여성,40대,comment,1,0.26
inffol-0353,inf-0019,2026-06-01,여성,50대,comment,1,0.26
inffol-0354,inf-0019,2026-06-01,여성,60대+,comment,1,0.26
inffol-0355,inf-0020,2026-06-01,남성,10대,like,84,7.27
inffol-0356,inf-0020,2026-06-01,남성,20대,like,227,19.65
inffol-0357,inf-0020,2026-06-01,남성,30대,like,90,7.79
inffol-0358,inf-0020,2026-06-01,남성,40대,like,63,5.45
inffol-0359,inf-0020,2026-06-01,남성,50대,like,17,1.47
inffol-0360,inf-0020,2026-06-01,여성,10대,like,32,2.77
inffol-0361,inf-0020,2026-06-01,여성,20대,like,108,9.35
inffol-0362,inf-0020,2026-06-01,여성,30대,like,43,3.72
inffol-0363,inf-0020,2026-06-01,여성,40대,like,21,1.82
inffol-0364,inf-0020,2026-06-01,여성,50대,like,6,0.52
inffol-0365,inf-0020,2026-06-01,여성,60대+,like,1,0.09
inffol-0366,inf-0020,2026-06-01,남성,10대,comment,45,3.9
inffol-0367,inf-0020,2026-06-01,남성,20대,comment,162,14.03
inffol-0368,inf-0020,2026-06-01,남성,30대,comment,50,4.33
inffol-0369,inf-0020,2026-06-01,남성,40대,comment,42,3.64
inffol-0370,inf-0020,2026-06-01,남성,50대,comment,16,1.39
inffol-0371,inf-0020,2026-06-01,여성,10대,comment,25,2.16
inffol-0372,inf-0020,2026-06-01,여성,20대,comment,70,6.06
inffol-0373,inf-0020,2026-06-01,여성,30대,comment,33,2.86
inffol-0374,inf-0020,2026-06-01,여성,40대,comment,13,1.13
inffol-0375,inf-0020,2026-06-01,여성,50대,comment,7,0.61
inffol-0376,inf-0021,2026-06-01,남성,10대,like,20,2.0
inffol-0377,inf-0021,2026-06-01,남성,20대,like,223,22.28
inffol-0378,inf-0021,2026-06-01,남성,30대,like,96,9.59
inffol-0379,inf-0021,2026-06-01,남성,40대,like,154,15.38
inffol-0380,inf-0021,2026-06-01,남성,50대,like,92,9.19
inffol-0381,inf-0021,2026-06-01,남성,60대+,like,29,2.9
inffol-0382,inf-0021,2026-06-01,여성,10대,like,13,1.3
inffol-0383,inf-0021,2026-06-01,여성,20대,like,114,11.39
inffol-0384,inf-0021,2026-06-01,여성,30대,like,56,5.59
inffol-0385,inf-0021,2026-06-01,여성,40대,like,108,10.79
inffol-0386,inf-0021,2026-06-01,여성,50대,like,48,4.8
inffol-0387,inf-0021,2026-06-01,여성,60대+,like,7,0.7
inffol-0388,inf-0021,2026-06-01,남성,10대,comment,1,0.1
inffol-0389,inf-0021,2026-06-01,남성,20대,comment,7,0.7
inffol-0390,inf-0021,2026-06-01,남성,40대,comment,9,0.9
inffol-0391,inf-0021,2026-06-01,남성,50대,comment,7,0.7
inffol-0392,inf-0021,2026-06-01,여성,10대,comment,1,0.1
inffol-0393,inf-0021,2026-06-01,여성,20대,comment,10,1.0
inffol-0394,inf-0021,2026-06-01,여성,30대,comment,1,0.1
inffol-0395,inf-0021,2026-06-01,여성,40대,comment,2,0.2
inffol-0396,inf-0021,2026-06-01,여성,50대,comment,3,0.3
inffol-0397,inf-0022,2026-06-01,남성,10대,like,59,5.85
inffol-0398,inf-0022,2026-06-01,남성,20대,like,194,19.25
inffol-0399,inf-0022,2026-06-01,남성,30대,like,27,2.68
inffol-0400,inf-0022,2026-06-01,남성,40대,like,45,4.46
inffol-0401,inf-0022,2026-06-01,남성,50대,like,2,0.2
