profile_follower_id,client_id,profile_metric_id,profile_metric_at,profile_gender,profile_age_group,profile_follower_count,profile_follower_ratio
profol-0144,cli-0001,promet-0012,2026-05-25 00:00:00,female,60대+,138,21.8
profol-0145,cli-0001,promet-0013,2026-05-26 00:00:00,male,10대,27,4.18
profol-0146,cli-0001,promet-0013,2026-05-26 00:00:00,male,20대,1,0.15
profol-0147,cli-0001,promet-0013,2026-05-26 00:00:00,male,30대,115,17.8
profol-0148,cli-0001,promet-0013,2026-05-26 00:00:00,male,40대,2,0.31
profol-0149,cli-0001,promet-0013,2026-05-26 00:00:00,male,50대,21,3.25
profol-0150,cli-0001,promet-0013,2026-05-26 00:00:00,male,60대+,153,23.68
profol-0151,cli-0001,promet-0013,2026-05-26 00:00:00,female,10대,167,25.85
profol-0152,cli-0001,promet-0013,2026-05-26 00:00:00,female,20대,38,5.88
profol-0153,cli-0001,promet-0013,2026-05-26 00:00:00,female,30대,50,7.739999999999999
profol-0154,cli-0001,promet-0013,2026-05-26 00:00:00,female,40대,29,4.49
profol-0155,cli-0001,promet-0013,2026-05-26 00:00:00,female,50대,15,2.32
profol-0156,cli-0001,promet-0013,2026-05-26 00:00:00,female,60대+,28,4.33
profol-0157,cli-0001,promet-0014,2026-05-27 00:00:00,male,10대,52,7.89
profol-0158,cli-0001,promet-0014,2026-05-27 00:00:00,male,20대,62,9.41
profol-0159,cli-0001,promet-0014,2026-05-27 00:00:00,male,30대,3,0.45999999999999996
profol-0160,cli-0001,promet-0014,2026-05-27 00:00:00,male,40대,0,0.0
profol-0161,cli-0001,promet-0014,2026-05-27 00:00:00,male,50대,160,24.279999999999998
profol-0162,cli-0001,promet-0014,2026-05-27 00:00:00,male,60대+,11,1.67
profol-0163,cli-0001,promet-0014,2026-05-27 00:00:00,female,10대,11,1.67
profol-0164,cli-0001,promet-0014,2026-05-27 00:00:00,female,20대,62,9.41
profol-0165,cli-0001,promet-0014,2026-05-27 00:00:00,female,30대,109,16.54
profol-0166,cli-0001,promet-0014,2026-05-27 00:00:00,female,40대,136,20.64
profol-0167,cli-0001,promet-0014,2026-05-27 00:00:00,female,50대,36,5.46
profol-0168,cli-0001,promet-0014,2026-05-27 00:00:00,female,60대+,17,2.58
profol-0169,cli-0001,promet-0015,2026-05-28 00:00:00,male,10대,26,3.9
profol-0170,cli-0001,promet-0015,2026-05-28 00:00:00,male,20대,40,6.0
profol-0171,cli-0001,promet-0015,2026-05-28 00:00:00,male,30대,19,2.85
profol-0172,cli-0001,promet-0015,2026-05-28 00:00:00,male,40대,15,2.25
profol-0173,cli-0001,promet-0015,2026-05-28 00:00:00,male,50대,33,4.95
profol-0174,cli-0001,promet-0015,2026-05-28 00:00:00,male,60대+,22,3.3000000000000003
profol-0175,cli-0001,promet-0015,2026-05-28 00:00:00,female,10대,38,5.7
profol-0176,cli-0001,promet-0015,2026-05-28 00:00:00,female,20대,5,0.75
profol-0177,cli-0001,promet-0015,2026-05-28 00:00:00,female,30대,185,27.74
profol-0178,cli-0001,promet-0015,2026-05-28 00:00:00,female,40대,180,26.99
profol-0179,cli-0001,promet-0015,2026-05-28 00:00:00,female,50대,57,8.55
profol-0180,cli-0001,promet-0015,2026-05-28 00:00:00,female,60대+,47,7.049999999999999
profol-0181,cli-0001,promet-0016,2026-05-29 00:00:00,male,10대,4,0.6
profol-0182,cli-0001,promet-0016,2026-05-29 00:00:00,male,20대,58,8.709999999999999
profol-0183,cli-0001,promet-0016,2026-05-29 00:00:00,male,30대,49,7.359999999999999
profol-0184,cli-0001,promet-0016,2026-05-29 00:00:00,male,40대,217,32.58
profol-0185,cli-0001,promet-0016,2026-05-29 00:00:00,male,50대,141,21.17
profol-0186,cli-0001,promet-0016,2026-05-29 00:00:00,male,60대+,19,2.85
profol-0187,cli-0001,promet-0016,2026-05-29 00:00:00,female,10대,39,5.86
profol-0188,cli-0001,promet-0016,2026-05-29 00:00:00,female,20대,72,10.81
profol-0189,cli-0001,promet-0016,2026-05-29 00:00:00,female,30대,45,6.76
profol-0190,cli-0001,promet-0016,2026-05-29 00:00:00,female,40대,7,1.05
profol-0191,cli-0001,promet-0016,2026-05-29 00:00:00,female,50대,13,1.95
profol-0192,cli-0001,promet-0016,2026-05-29 00:00:00,female,60대+,2,0.3
profol-0193,cli-0001,promet-0017,2026-05-30 00:00:00,male,10대,22,3.19
profol-0194,cli-0001,promet-0017,2026-05-30 00:00:00,male,20대,103,14.93
profol-0195,cli-0001,promet-0017,2026-05-30 00:00:00,male,30대,19,2.75
profol-0196,cli-0001,promet-0017,2026-05-30 00:00:00,male,40대,34,4.93
profol-0197,cli-0001,promet-0017,2026-05-30 00:00:00,male,50대,73,10.58
profol-0198,cli-0001,promet-0017,2026-05-30 00:00:00,male,60대+,17,2.46
profol-0199,cli-0001,promet-0017,2026-05-30 00:00:00,female,10대,44,6.38
profol-0200,cli-0001,promet-0017,2026-05-30 00:00:00,female,20대,83,12.030000000000001
profol-0201,cli-0001,promet-0017,2026-05-30 00:00:00,female,30대,136,19.71
profol-0202,cli-0001,promet-0017,2026-05-30 00:00:00,female,40대,11,1.59
profol-0203,cli-0001,promet-0017,2026-05-30 00:00:00,female,50대,116,16.81
profol-0204,cli-0001,promet-0017,2026-05-30 00:00:00,female,60대+,32,4.64
profol-0205,cli-0001,promet-0018,2026-05-31 00:00:00,male,10대,9,1.3
profol-0206,cli-0001,promet-0018,2026-05-31 00:00:00,male,20대,32,4.62
profol-0207,cli-0001,promet-0018,2026-05-31 00:00:00,male,30대,41,5.92
profol-0208,cli-0001,promet-0018,2026-05-31 00:00:00,male,40대,31,4.47
profol-0209,cli-0001,promet-0018,2026-05-31 00:00:00,male,50대,19,2.74
profol-0210,cli-0001,promet-0018,2026-05-31 00:00:00,male,60대+,25,3.61
profol-0211,cli-0001,promet-0018,2026-05-31 00:00:00,female,10대,105,15.15
profol-0212,cli-0001,promet-0018,2026-05-31 00:00:00,female,20대,42,6.0600000000000005
profol-0213,cli-0001,promet-0018,2026-05-31 00:00:00,female,30대,69,9.959999999999999
profol-0214,cli-0001,promet-0018,2026-05-31 00:00:00,female,40대,118,17.03
profol-0215,cli-0001,promet-0018,2026-05-31 00:00:00,female,50대,199,28.720000000000002
profol-0216,cli-0001,promet-0018,2026-05-31 00:00:00,female,60대+,3,0.43
profol-0217,cli-0001,promet-0019,2026-06-01 00:00:00,male,10대,24,3.42
profol-0218,cli-0001,promet-0019,2026-06-01 00:00:00,male,20대,113,16.12
profol-0219,cli-0001,promet-0019,2026-06-01 00:00:00,male,30대,186,26.529999999999998
profol-0220,cli-0001,promet-0019,2026-06-01 00:00:00,male,40대,74,10.56
profol-0221,cli-0001,promet-0019,2026-06-01 00:00:00,male,50대,64,9.13
profol-0222,cli-0001,promet-0019,2026-06-01 00:00:00,male,60대+,11,1.5699999999999998
profol-0223,cli-0001,promet-0019,2026-06-01 00:00:00,female,10대,60,8.559999999999999
profol-0224,cli-0001,promet-0019,2026-06-01 00:00:00,female,20대,70,9.99
profol-0225,cli-0001,promet-0019,2026-06-01 00:00:00,female,30대,24,3.42
profol-0226,cli-0001,promet-0019,2026-06-01 00:00:00,female,40대,31,4.42
profol-0227,cli-0001,promet-0019,2026-06-01 00:00:00,female,50대,42,5.99
profol-0228,cli-0001,promet-0019,2026-06-01 00:00:00,female,60대+,2,0.29
profol-0229,cli-0001,promet-0020,2026-06-02 00:00:00,male,10대,29,4.14
profol-0230,cli-0001,promet-0020,2026-06-02 00:00:00,male,20대,304,43.43
profol-0231,cli-0001,promet-0020,2026-06-02 00:00:00,male,30대,67,9.569999999999999
profol-0232,cli-0001,promet-0020,2026-06-02 00:00:00,male,40대,29,4.14
profol-0233,cli-0001,promet-0020,2026-06-02 00:00:00,male,50대,11,1.5699999999999998
profol-0234,cli-0001,promet-0020,2026-06-02 00:00:00,male,60대+,15,2.1399999999999997
profol-0235,cli-0001,promet-0020,2026-06-02 00:00:00,female,10대,17,2.4299999999999997
profol-0236,cli-0001,promet-0020,2026-06-02 00:00:00,female,20대,9,1.29
profol-0237,cli-0001,promet-0020,2026-06-02 00:00:00,female,30대,17,2.4299999999999997
profol-0238,cli-0001,promet-0020,2026-06-02 00:00:00,female,40대,31,4.43
profol-0239,cli-0001,promet-0020,2026-06-02 00:00:00,female,50대,14,2.0
profol-0240,cli-0001,promet-0020,2026-06-02 00:00:00,female,60대+,157,22.43
profol-0241,cli-0001,promet-0021,2026-06-03 00:00:00,male,10대,81,11.51
profol-0242,cli-0001,promet-0021,2026-06-03 00:00:00,male,20대,32,4.55
profol-0243,cli-0001,promet-0021,2026-06-03 00:00:00,male,30대,155,22.02
profol-0244,cli-0001,promet-0021,2026-06-03 00:00:00,male,40대,14,1.9900000000000002
profol-0245,cli-0001,promet-0021,2026-06-03 00:00:00,male,50대,25,3.55
profol-0246,cli-0001,promet-0021,2026-06-03 00:00:00,male,60대+,63,8.95
profol-0247,cli-0001,promet-0021,2026-06-03 00:00:00,female,10대,85,12.07
profol-0248,cli-0001,promet-0021,2026-06-03 00:00:00,female,20대,36,5.11
profol-0249,cli-0001,promet-0021,2026-06-03 00:00:00,female,30대,8,1.1400000000000001
profol-0250,cli-0001,promet-0021,2026-06-03 00:00:00,female,40대,94,13.350000000000001
profol-0251,cli-0001,promet-0021,2026-06-03 00:00:00,female,50대,38,5.4
profol-0252,cli-0001,promet-0021,2026-06-03 00:00:00,female,60대+,73,10.37
profol-0253,cli-0001,promet-0022,2026-06-04 00:00:00,male,10대,10,1.41
profol-0254,cli-0001,promet-0022,2026-06-04 00:00:00,male,20대,15,2.12
profol-0255,cli-0001,promet-0022,2026-06-04 00:00:00,male,30대,127,17.94
profol-0256,cli-0001,promet-0022,2026-06-04 00:00:00,male,40대,68,9.6
profol-0257,cli-0001,promet-0022,2026-06-04 00:00:00,male,50대,63,8.9
profol-0258,cli-0001,promet-0022,2026-06-04 00:00:00,male,60대+,27,3.81
profol-0259,cli-0001,promet-0022,2026-06-04 00:00:00,female,10대,130,18.360000000000003
profol-0260,cli-0001,promet-0022,2026-06-04 00:00:00,female,20대,35,4.9399999999999995
profol-0261,cli-0001,promet-0022,2026-06-04 00:00:00,female,30대,122,17.23
profol-0262,cli-0001,promet-0022,2026-06-04 00:00:00,female,40대,34,4.8
profol-0263,cli-0001,promet-0022,2026-06-04 00:00:00,female,50대,34,4.8
profol-0264,cli-0001,promet-0022,2026-06-04 00:00:00,female,60대+,43,6.069999999999999
profol-0265,cli-0001,promet-0023,2026-06-05 00:00:00,male,10대,6,0.84
profol-0266,cli-0001,promet-0023,2026-06-05 00:00:00,male,20대,139,19.470000000000002
profol-0267,cli-0001,promet-0023,2026-06-05 00:00:00,male,30대,14,1.96
profol-0268,cli-0001,promet-0023,2026-06-05 00:00:00,male,40대,32,4.4799999999999995
profol-0269,cli-0001,promet-0023,2026-06-05 00:00:00,male,50대,115,16.11
profol-0270,cli-0001,promet-0023,2026-06-05 00:00:00,male,60대+,5,0.7000000000000001
profol-0271,cli-0001,promet-0023,2026-06-05 00:00:00,female,10대,23,3.2199999999999998
profol-0272,cli-0001,promet-0023,2026-06-05 00:00:00,female,20대,89,12.46
profol-0273,cli-0001,promet-0023,2026-06-05 00:00:00,female,30대,97,13.59
profol-0274,cli-0001,promet-0023,2026-06-05 00:00:00,female,40대,58,8.12
profol-0275,cli-0001,promet-0023,2026-06-05 00:00:00,female,50대,94,13.170000000000002
profol-0276,cli-0001,promet-0023,2026-06-05 00:00:00,female,60대+,42,5.88
profol-0277,cli-0001,promet-0024,2026-06-06 00:00:00,male,10대,80,10.81
profol-0278,cli-0001,promet-0024,2026-06-06 00:00:00,male,20대,44,5.949999999999999
profol-0279,cli-0001,promet-0024,2026-06-06 00:00:00,male,30대,3,0.41000000000000003
profol-0280,cli-0001,promet-0024,2026-06-06 00:00:00,male,40대,35,4.73
profol-0281,cli-0001,promet-0024,2026-06-06 00:00:00,male,50대,136,18.38
profol-0282,cli-0001,promet-0024,2026-06-06 00:00:00,male,60대+,0,0.0
profol-0283,cli-0001,promet-0024,2026-06-06 00:00:00,female,10대,30,4.05
profol-0284,cli-0001,promet-0024,2026-06-06 00:00:00,female,20대,40,5.41
profol-0285,cli-0001,promet-0024,2026-06-06 00:00:00,female,30대,68,9.19
profol-0286,cli-0001,promet-0024,2026-06-06 00:00:00,female,40대,239,32.300000000000004
profol-0287,cli-0001,promet-0024,2026-06-06 00:00:00,female,50대,28,3.7800000000000002
profol-0288,cli-0001,promet-0024,2026-06-06 00:00:00,female,60대+,37,5.0
profol-0289,cli-0001,promet-0025,2026-06-07 00:00:00,male,10대,21,2.75
profol-0290,cli-0001,promet-0025,2026-06-07 00:00:00,male,20대,237,31.06
profol-0291,cli-0001,promet-0025,2026-06-07 00:00:00,male,30대,17,2.23
profol-0292,cli-0001,promet-0025,2026-06-07 00:00:00,male,40대,25,3.2800000000000002
profol-0293,cli-0001,promet-0025,2026-06-07 00:00:00,male,50대,7,0.9199999999999999
profol-0294,cli-0001,promet-0025,2026-06-07 00:00:00,male,60대+,64,8.39
profol-0295,cli-0001,promet-0025,2026-06-07 00:00:00,female,10대,74,9.700000000000001
profol-0296,cli-0001,promet-0025,2026-06-07 00:00:00,female,20대,7,0.9199999999999999
profol-0297,cli-0001,promet-0025,2026-06-07 00:00:00,female,30대,127,16.64
profol-0298,cli-0001,promet-0025,2026-06-07 00:00:00,female,40대,60,7.86
profol-0299,cli-0001,promet-0025,2026-06-07 00:00:00,female,50대,70,9.17
profol-0300,cli-0001,promet-0025,2026-06-07 00:00:00,female,60대+,54,7.08
profol-0301,cli-0001,promet-0026,2026-06-08 00:00:00,male,10대,6,0.77
profol-0302,cli-0001,promet-0026,2026-06-08 00:00:00,male,20대,115,14.799999999999999
profol-0303,cli-0001,promet-0026,2026-06-08 00:00:00,male,30대,7,0.8999999999999999
profol-0304,cli-0001,promet-0026,2026-06-08 00:00:00,male,40대,81,10.42
profol-0305,cli-0001,promet-0026,2026-06-08 00:00:00,male,50대,13,1.67
profol-0306,cli-0001,promet-0026,2026-06-08 00:00:00,male,60대+,6,0.77
profol-0307,cli-0001,promet-0026,2026-06-08 00:00:00,female,10대,23,2.96
profol-0308,cli-0001,promet-0026,2026-06-08 00:00:00,female,20대,100,12.870000000000001
profol-0309,cli-0001,promet-0026,2026-06-08 00:00:00,female,30대,162,20.849999999999998
profol-0310,cli-0001,promet-0026,2026-06-08 00:00:00,female,40대,137,17.630000000000003
profol-0311,cli-0001,promet-0026,2026-06-08 00:00:00,female,50대,39,5.0200000000000005
profol-0312,cli-0001,promet-0026,2026-06-08 00:00:00,female,60대+,88,11.33
profol-0313,cli-0001,promet-0027,2026-06-09 00:00:00,male,10대,64,8.110000000000001
profol-0314,cli-0001,promet-0027,2026-06-09 00:00:00,male,20대,25,3.17
profol-0315,cli-0001,promet-0027,2026-06-09 00:00:00,male,30대,48,6.08
profol-0316,cli-0001,promet-0027,2026-06-09 00:00:00,male,40대,23,2.92
profol-0317,cli-0001,promet-0027,2026-06-09 00:00:00,male,50대,19,2.41
profol-0318,cli-0001,promet-0027,2026-06-09 00:00:00,male,60대+,163,20.66
profol-0319,cli-0001,promet-0027,2026-06-09 00:00:00,female,10대,67,8.49
